Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Greenhouse gas reductions andinvestments in the green transition - Efficient use of energy and renovations,https://www.iea.org/policies/11982-greenhouse-gas-reductions-andinvestments-in-the-green-transition-efficient-use-of-energy-and-renovations,"As part of the green recovery, Denmark's government will set DKK 30 billion (EUR 4 billion) aside for green renovations in the public housing sector. The fund will come from the Rural Development Fund and will be spread over the period of 2020-2026. Within the budget, DKK 18.4 billion will be used to renovate 72,000 homes currently on the waiting list, and the remaining DKK 11.6 billion DKK will serve future renovations until 2026. Renovations of public housing buildings are expected to reduce greenhouse gas (GHG) emissions by 47,000 tons of CO2eq and create 3,500 jobs in 2022. Energy efficient retrofits in governmental buildings will also reduce energy consumption by 220 GWh.",Undefined,11 March 2022,https://www.trm.dk/nyheder/2020/groen-genopretning-af-danmark-30-mia-kr-til-renoveringer-i-den-almene-boligsektor/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Existing buildings and retrofits,Undefined,Undefined,Denmark,2020,In force,National,DNK
Package for the future - CO2 building renovation program,https://www.iea.org/policies/13505-package-for-the-future-co2-building-renovation-program,"Package for the future is a programme designed to help Germany prepare for future challenges such as growing digitalisation and climate change. The programme aims to support research into the development of quantum computing, artificial intelligence, hydrogen power and electric vehicles.      The Package for the future will continue to support the CO2 building renovation program, launched in 2015, for the energy renovation of buildings. To make buildings more energy efficient, the program offers low-interest loans and transfer subsidies to private individuals and housing companies. This program will receive around 2 billion euros for 2020 and 2021.",Undefined,18 March 2022,https://www.bundesfinanzministerium.de/Content/EN/Standardartikel/Topics/Public-Finances/Articles/2020-06-04-fiscal-package.html,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Loans / debt finance|Finance|Grants",Buildings|Existing buildings and retrofits,Undefined,Undefined,Germany,2020,In force,National,DEU
Renovation of private houses - internal heating and hot water systems,https://www.iea.org/policies/12738-renovation-of-private-houses-internal-heating-and-hot-water-systems,"The renovation of private houses, internal heating and hot water systems policy is designed to provide for alternative energy sources used for heating or hot water systems. State support is provided for energy efficient renovation in houses and apartments, in view of modernizing heating or hot water systems, to introduce alternative energy means to prepare hot water. Residents seeking state support must exchange elevator heating points for new automated heating points or renovate old worn-out heating points that do not automatically maintain a set of hot water temperature in the building's internal hot water supply system. Allocated budget for these renovations is 5 million EUR.",IEA/IRENA Renewables Policies Database,23 November 2022,http://betalt.lt/veiklos-sritys/programos/daugiabuciu-namu-vidaus-sildymo-ir-karsto-vandens-sistemu-modernizavimas/217,Energy Efficiency|Renewable Energy,"Codes and standards|Payments, finance and taxation|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Grants",Residential,Undefined,Undefined,Lithuania,2020,In force,National,LTU
Tax deductions for building renovations,https://www.iea.org/policies/11633-tax-deductions-for-building-renovations,"Since January 2020, Germany provides homeowners with tax incentives for energy efficient renovations, allowing them to deduct 20% of the costs for renovations of up to EUR 40,000 from their taxes. Insulation measures, new windows and exterior doors, the replacement or optimisation of old heating and ventilation systems and the installation of digital energy management systems are eligible for support.  Measures cover only owner-occupied homes. This rules out rented dwellings and means that less than half of Germany's approximately 42 million homes are eligible for support. A study by the German alliance for energy efficiency in buildings, GEEA, projects that the approved measures could save up to 3.4 million tonnes of CO2 equivalents by 2030.",Undefined,15 July 2021,https://www.bundesregierung.de/breg-en/issues/climate-action/klimaschutzprogramm-2030-1674080,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Rebates",Buildings|Existing buildings and retrofits,Building envelope technologies|Insulation,Undefined,Germany,2020,In force,National,DEU
Renovation of apartment buildings (Grant scheme 1),https://www.iea.org/policies/2669-renovation-of-apartment-buildings-grant-scheme-1,"The Estonian Government established the KredEx Foundation (Estonian Credit and Guarantee Fund) in 2001, in order to provide support for improving the energy performance of the housing stock. KredEx is providing grants, designed for associations and communities wishing to reconstruct their apartment buildings as completely and efficiently as possible.  The grant is intended for the renovation of apartment buildings constructed before 1993, in which an apartment association has been set up or which are wholly owned by the local authority.  The grant amounts to 30% of the total cost of the renovation works in Tallinn and Tartu, and to 40% of the total cost of the renovation works in rural municipalities neighbouring Tallinn and Tartu, where the market value of the property in the year preceding the submission of the application was higher than 500 €/m2 according to the transaction database of the Land Board, as well as in Elva, Haapsalu, Keila, Kohila, Kuressaare, Maardu, Otepää, Paikuse, Pärnu, Rakvere, Rapla, Sauga, Uuemõisa and Viljandi. In the rest of Estonia, the grant amounts to 50% of the total cost of the renovation works.    In regions other than Tallinn and Tartu, it is possible to apply for a grant that is 10% lower than the official percentage if all the required conditions are not met, for example, if no heat-recovery ventilation system will be built or if the linear thermal bridge requirement will not be met.  Any previous works need not be redone, provided that the desired energy performance class can be achieved with other works.  It is only possible to apply for the grant for the renovation works set out in the proper final design documentation.     An applicant has to enter into an agreement with a technical consultant or a company through which the technical consultant provides the service, unless the applicant has received no bids for reasons beyond the applicant’s control. The agreement between a technical consultant and an apartment association should be signed by the moment of submission of the application at the latest.     The building design documentation submitted when applying for the grant will undergo an expert assessment organised and paid for by KredEx.     After KredEx’ expert assessment, bidding for the renovation works will be organised through the Public Procurement Register.",Undefined,5 July 2021,https://www.kredex.ee/en/services/elamistingimuste-parandamiseks/renovation-grant-2019,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential,Undefined,Undefined,Estonia,2019,In force,National,EST
Renovation of apartment buildings (Grant scheme 2),https://www.iea.org/policies/2668-renovation-of-apartment-buildings-grant-scheme-2,"The Estonian Government established the KredEx Foundation (Estonian Credit and Guarantee Fund) in 2001, in order to provide support for improving the energy performance of the housing stock. KredEx is providing grants, designed for associations and communities wishing to reconstruct their apartment buildings as completely and efficiently as possible.  The grant is intended for the renovation of apartment buildings constructed before 1993, in which an apartment association has been set up or which are wholly owned by the local authority.  The grant amounts to 30% of the total cost of the renovation works in Tallinn and Tartu, and to 40% of the total cost of the renovation works in rural municipalities neighbouring Tallinn and Tartu, where the market value of the property in the year preceding the submission of the application was higher than 500 €/m2 according to the transaction database of the Land Board, as well as in Elva, Haapsalu, Keila, Kohila, Kuressaare, Maardu, Otepää, Paikuse, Pärnu, Rakvere, Rapla, Sauga, Uuemõisa and Viljandi. In the rest of Estonia, the grant amounts to 50% of the total cost of the renovation works.  In regions other than Tallinn and Tartu, it is possible to apply for a grant that is 10% lower than the official percentage if all the required conditions are not met, for example, if no heat-recovery ventilation system will be built or if the linear thermal bridge requirement will not be met.  Any previous works need not be redone, provided that the desired energy performance class can be achieved with other works.  It is only possible to apply for the grant for the renovation works set out in the proper final design documentation.  An applicant has to enter into an agreement with a technical consultant or a company through which the technical consultant provides the service, unless the applicant has received no bids for reasons beyond the applicant’s control. The agreement between a technical consultant and an apartment association should be signed by the moment of submission of the application at the latest.  The building design documentation submitted when applying for the grant will undergo an expert assessment organised and paid for by KredEx.  After KredEx’ expert assessment, bidding for the renovation works will be organised through the Public Procurement Register.",Undefined,5 July 2021,https://www.kredex.ee/en/services/elamistingimuste-parandamiseks/renovation-grant-2019,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Residential|Existing buildings and retrofits,Undefined,Undefined,Estonia,2019,In force,National,EST
Aid Program for the energy renovation of General State Administration buildings and infrastructures (FEDER -POCS 2014-2020),https://www.iea.org/policies/2383-aid-program-for-the-energy-renovation-of-general-state-administration-buildings-and-infrastructures-feder-pocs-2014-2020,"The General State Administration, through the Directorate-General of European Funds of the Ministry of the Tax Administration and Civil Service, has drafted the Sustainable Growth OP 2014-2020 (POCS), which has been approved by the implementing commission decision C(2015) 5220 of July 22, 2015. The POCS has allotted approximately €2100M of FEDER assistance, 38.2% of the Program, to the axis Low Carbon Economy. This sum is intended to be managed by the Institute for Diversification and Energy Saving (IDAE) as an intermediary organism for the actions in this axis. Moreover, the POCS establishes that part of the provision for this axis shall be allotted to projects that allow for the transition to a low-carbon economy in the field of the General State Administration, and the IDAE shall be charged with selecting the projects and assigning the appropriate assistance in this field. In line with the above, a call for aids geared towards the execution of energy-related renovations in buildings and infrastructure of the General Administration was approved. The available budget amounts to 95.181.546,36 €.   Those entities that benefit from the program may be the different departments of the General State Administration, its organisms and dependent or related public bodies whenever they do not carry out any commercial or mercantile activities and they are the owners or operators of the buildings or infrastructure for which the assistance is requested to carry out energy renovations. The actions must fall within one of the following categories: Complete building energy renovations; Partial building renovations; actions to improve the energy efficiency of infrastructure other than buildings; actions to improve the energy efficiency of indoor lighting facilities.",Undefined,5 November 2017,http://www.idae.es/ayudas-y-financiacion/para-la-renovacion-energetica-de-edificios-e-infraestructuras-existentes-de-la,Energy Efficiency,Payments|finance and taxation,Buildings|Services,Building envelope technologies|Lighting technologies,Undefined,Spain,2017,In force,National,ESP
Renovation of district heating boilers,https://www.iea.org/policies/2673-renovation-of-district-heating-boilers,"The effective production and transmission of thermal energy measure includes the renovation of district heating boilers and the replacement of fuel. Grants are available up to a maximum 50% of eligible costs. The Foundation Environmental Investments Centre (EIC) received 64 applications by the deadline, in the total amount of EUR 19,368,600, for the financing of heating energy projects. EIC shall evaluate the compliance of the applications and announce the grant recipients in July. Out of the submitted applications, 28 are related to the renovation of district heating boilers, totalling EUR 11,850,596. Thirty-six applications were submitted for the renovation of heat pipelines and building new connections in the total amount of EUR 7,518,003. No applications were submitted for constructing a new district heating system. The total budget of the application round is EUR 18 million. Out of this, EUR 12 million is planned for the renovation of boilers. However, EUR 6 million has been provided for renovating heat pipelines, building new connections and constructing a new district heating system.",Undefined,18 October 2019,https://www.kik.ee/en/supported-activity/effective-production-and-transmission-thermal-energy,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants","Buildings|Power, Heat and Utilities|Heat and steam distribution (incl. district heating)","Space, water and process heating technologies|Domestic and building-scale boilers",Undefined,Estonia,2017,Ended,National,EST
Building Energy Efficiency Act,https://www.iea.org/policies/863-building-energy-efficiency-act,"Act on the Improvement of Energy Consumption Performance of Buildings (Building Energy Efficiency Act) was newly established in July 8, 2015. This Act provides for 1) regulatory measures for mandatory compliance with energy efficiency standards for large-scale non-residential buildings, and 2) incentive measures such as a labeling system displaying compliance with energy efficiency standards and exception of floor-area ratio regulation for certified building. The incentive measures are implemented from April 1, 2016, and the regulatory measures are implemented in April 2017.  When construction clients attempt to undertake new construction/extensions/renovations on buildings at or over a certain size, they must acquire certification of conformity with energy efficiency standards or notify the administrative agency with jurisdiction depending on the use and size, etc. of the building. After the implementation of the regulatory measures, large-scale non-residential building (more than 2000m2) that is not compliant with energy efficiency standards become ineligible for certification of Building Standards Law.  The standards apply in the Building Energy Efficiency Act are three-fold: energy consumption performance standards (energy efficiency standards), certification standards, and residential construction client standards. There are 2 verification methods of these standards: a detailed calculation method and an abbreviated calculation method.",Undefined,18 October 2019,http://www.mlit.go.jp/common/001134876.pdf,Energy Efficiency,"Regulation|Codes and standards|Energy efficiency / Fuel economy obligations|Building codes and standards|Payments, finance and taxation|Performance-based policies",Buildings|Services,Undefined,Undefined,Japan,2016,In force,National,JPN
Law On Transformation Of Areas Under Disaster Risk,https://www.iea.org/policies/7757-law-on-transformation-of-areas-under-disaster-risk,"This Law determines the principles and procedures for establishing healthy and safe built living environments. Under the Law, experts (defined under the regulations) are able to determine whether buildings have completed their economic life, risk collapse or have suffered from heavy damage, and can therefore recommend destruction or renovation. The law includes low-interest loans for making building improvements that comply with regulations. The Law On Transformation Of Areas Under Disaster Risk numbered 6306 was published in the Official Gazette No. 28309 of 31 December 2012. Regulations were finalised in 2016 under Cabinet Decision number 2016/9654.",Undefined,13 October 2020,Undefined,Energy Efficiency,"Regulation|Audits and inspections|Payments, finance and taxation|Payments and transfers|Loans / debt finance|Prescriptive requirements and standards|Finance",Buildings|Residential|Services,Undefined,Undefined,Turkey,2016,In force,National,TUR
