"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"1",1,1,"Australia","AUS",1991,"Enterprise Energy Audit Program","The Commonwealth Government<U+2019>s <U+2018>Enterprise Energy Audit Program<U+2019> subsidised energy audits_x000D_
between 1991 and 1997. These audits helped companies identify opportunities for energy savings._x000D_
Under its <U+2018>Environmental Management Program: a Business Approach<U+2019>, the Commonwealth_x000D_
Government provides assistance to companies to take up the challenge of cleaner production and_x000D_
waste management and of reducing greenhouse gas emissions. This program includes an Energy_x000D_
Management Module that helps companies quantify the savings they can make by identifying and_x000D_
exploiting opportunities to increase energy efficiency",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"2",2,2,"Australia","AUS",1994,"Natural Gas Industry Reform","Natural gas is Australia<U+2019>s fastest growing energy source and, as a clean and efficient source of energy,_x000D_
has an important role to play in helping to reduce Australia<U+2019>s greenhouse gas emissions. The_x000D_
Commonwealth, State and Territory Governments agreed in February 1994 to implement reform of_x000D_
the gas sector to allow free and fair trade in natural gas. The primary focus of reform has been to establish a regulatory framework to facilitate nationally consistent third-party access to transmission and distribution pipelines through the National Third Party Access Code. This recently finalised Code will enable market participants to deal with pipeliners on fair and reasonable terms, while providing pipeline investors with the opportunity to earn a fair and_x000D_
reasonable return on capital, commensurate with the risks involved. A legislative package to give effect_x000D_
to the Code has been finalised. Through CoAG, all Governments have agreed to implement the Code_x000D_
progressively during the first half of 1998._x000D_
Implementation of the Code will promote competition in the delivery of gas, leading to lower prices_x000D_
and greater choice for consumers and reduced input costs for key exporting industries. In_x000D_
conjunction with electricity reform, the Code is driving integration in the provision of gas and_x000D_
electricity, encouraging optimal energy choice and the increased use of cogeneration .",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"3",3,3,"Australia","AUS",1995,"NSW Electricity Supply Act","Electricity retail licensees are required to develop greenhouse gas emission reduction strategy plans, and electricity distributor licensees are required to investigate demand management options prior to expanding, or increasing the capacity of, their distribution systems. The NSW Government has also capped the revenues of the operator of the power transmission system and electricity distributors for the period to 1998/99, encouraging demand management and energy efficiency initiatives. Exemptions include <U+2018>Green Power<U+2019> schemes <U+2014> paying a higher price for electricity produced from renewable sources <U+2014> which now operate in several regions.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"4",4,4,"Australia","AUS",1997,"Electricity Industry Reform","Electricity industry reform in Australia was initiated by CoAG as part of broader economic reforms._x000D_
Major restructuring of the industry has been taking place following agreement to establish a fully competitive integrated national electricity market across the generation, retail and distribution sectors_x000D_
by 2001._x000D_
The first stage of a competitive electricity market in southern and eastern Australia was introduced in_x000D_
Victoria, NSW and the ACT in 1997. South Australian generators will join the national market when_x000D_
the market systems are fully operational in 1998, while Queensland and Tasmania will join following_x000D_
grid interconnection._x000D_
The new market arrangements separate the industry<U+2019>s sectors to allow for competition in generation,_x000D_
in purchasing from the central dispatch <U+2018>pool<U+2019> and in the provision of services at the retail level. A_x000D_
system of light-handed national competition regulation of the remaining monopoly (network)_x000D_
elements will encourage increased efficiencies through time, and appropriate investment in networks_x000D_
and in upstream and downstream markets._x000D_
The reforms also encourage the removal of existing capital subsidies and cross-subsidies, so as to_x000D_
promote cost-reflective pricing. This is a key measure for the promotion of efficient competition in_x000D_
supply by embedded cogeneration and renewable energy sources. It will also promote more sensible_x000D_
patterns of energy use through greater incentives for investment in energy efficiency. In recognition_x000D_
of the importance of pricing to efficient, environmentally sound outcomes, a review of the proposed_x000D_
network pricing arrangements will be undertaken in 1998.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"5",5,5,"Australia","AUS",2000,"National Energy Efficiency Program (NEEP)","The program covers a range of advisory and information services to all sectors of the economy and the community generally. These_x000D_
services cover such matters as basic information on energy use and access to data on high efficiency_x000D_
technologies through networks such as the International Energy Agency<U+2019>s Centre for the Analysis and_x000D_
Dissemination of Demonstrated Energy Technologies (CADDET). NEEP also provides a framework_x000D_
through which the Commonwealth, State and Territory Governments coordinate the development_x000D_
and implementation of initiatives such as product energy labelling, minimum energy performance_x000D_
standards and building energy performance benchmarks.",NA,NA,NA,NA,"UNFCCC National Communications NC2"
"6",6,6,"Australia","AUS",2000,"Renewable Energy (Electricity) Act 2000","The Renewable Energy (Electricity) Act 2000, that supports the implementation of the Mandatory Renewable_x000D__x000D_
Energy Target, was passed by the Commonwealth Parliament in December 2000 and the obligation (liability)_x000D__x000D_
and entitlement (eligibility) provisions came into force on 1 April 2001. A separate statutory body, the Office_x000D__x000D_
of the Renewable Energy Regulator, administers the Act._x000D__x000D_
Under the Act, wholesale electricity purchasers are required to purchase increasing amounts of electricity_x000D__x000D_
generated from renewable sources. In order to discharge their liability, liable parties must surrender renewable_x000D__x000D_
energy certificates to the Renewable Energy Regulator. One renewable energy certificate can be created for_x000D__x000D_
each megawatt hour of electricity generated from an eligible renewable energy source in an accredited power_x000D__x000D_
station. These certificates can be traded through a market separate to the market for physical energy. The_x000D__x000D_
renewable energy certificate represents an additional value for renewable energy which when sold, can_x000D__x000D_
increase the competitiveness of renewable-based electricity as compared to cheaper fossil fuel-based electricity._x000D__x000D_
Liable parties not purchasing sufficient renewable energy face financial penalties.",NA,NA,NA,NA,"UNFCCC National Communications NC3"
"7",7,7,"Australia","AUS",2002,"Victorian Government<U+2019>s Renewable Energy Support Fund","Designed to leverage maximum private sector funding for the development of small-scale renewable energy generation projects in that state. Since 2002, the fund has provided $6.7 million in grants towards the capital costs of these projects and has leveraged a further $63 million in private sector investment.",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"8",8,8,"Australia","AUS",2000,"Photovoltaic Rebate Programme","The Australian Government introduced the Photovoltaic Rebate Programme (PVRP) to encourage the long-term use of photovoltaic technology to generate electricity from sunlight and to increase the use of renewable energy in Australia._x000D_
Applicants may only apply for one PVRP rebate for a given property. The minimum size PV system to be installed is 450-watt peak output and there is no maximum size. Please note rebate amounts are capped.",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"9",9,9,"Australia","AUS",1999,"Renewable Energy Equity Fund","The Renewable Energy Equity Fund (REEF) provided venture capital and managerial advice for small, innovative companies developing renewable energy technologies. The former Australian Centre for Renewable Energy within the Department of Resources, Energy and Tourism had policy responsibility for the program while AusIndustry administered program delivery. The Commonwealth allocated AUD 17.7 million, which was matched by private equity on a 2:1 basis, amounting to a total of AUD 26.6 million over ten years of the program. The identification and management of investments has been undertaken by an independent fund manager. The program is closed.",NA,NA,NA,NA,"UNFCCC National Communications NC4"
"10",10,10,"Australia","AUS",2000,"Generator Efficiency Standards","Generator Efficiency Standards is a Commonwealth best practice program that supports generators using_x000D__x000D_
fossil fuels in achieving better performance in their power plants and, as a result, reducing greenhouse gas_x000D__x000D_
emissions. The program commenced in 2000 and applies to any power generating plant that uses fossil fuels,_x000D__x000D_
whether on-grid, off-grid or self-generating, that meets all of the following criteria:_x000D__x000D_
<U+2022> 30 MW electrical capacity or above; and_x000D__x000D_
<U+2022> 50 GWh per annum electrical output or more; and_x000D__x000D_
<U+2022> a capacity factor of 5% or more in each of the last three years._x000D__x000D_
The efficiency standards are designed to achieve movement towards best practice in the efficiency of electricity_x000D__x000D_
generation using fossil fuels and deliver reductions in the greenhouse gas intensity of energy supply. Under_x000D__x000D_
this initiative, the Commonwealth enters into legally binding agreements with generators to achieve agreed_x000D__x000D_
emission reduction targets._x000D__x000D_
It is estimated that the emissions intensity of electricity production will be reduced, saving about 4 Mt of CO2-e_x000D__x000D_
a year, once all the generators have met the required best practice standard determined for each plant.",NA,NA,NA,NA,"UNFCCC National Communications NC3"
