"Policy ID","Country ISO","Policy name","Policy Title",Jurisdiction,"Supranational region",Country,"Subnational region or state","City or local","Type of policy instrument","Sector name","Policy description","Policy type","Policy stringency","Implementation state","Date of decision","Start date of implementation","End date of implementation","High impact","Policy objective","Source or references","Last update","Impact indicators: comments","Impact indicators: name","Impact indicators: value","Impact indicators: base year","Impact indicators: target year"
211000545,GBR,"Combined Heat and Power Strategy to 2010 United Kingdom (2004)","Combined Heat and Power Strategy to 2010",Country,,"United Kingdom",,,"Negotiated agreements (public-private sector), Tax relief","Electricity and heat",,"Energy efficiency",,Ended,2004,,,Unknown,Mitigation,https://aleo.org.uk/downloads/root/regions/uk/documents/chp_strategy.pdf,,,,,,
211004315,SWE,"Local Investment Programmes (LIP) Sweden (1998)","Local Investment Programmes (LIP)",Country,,Sweden,,,"Funds to sub-national governments, Grants and subsidies","Electricity and heat, General","The Local Investment Programmes (LIP) were implemented in Sweden municipalities between 1998 and 2008. The programme provided grants to support investments made by municipalities, in cooperation with local companies and organisations, to increase ecological sustainability. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Ended,1998,,2008,Unknown,Mitigation,https://www.iea.org/policies/1954-local-investment-programmes-lip?country=Sweden&page=3&qs=swede,,,,,,
211002529,USA,"Renewable Fuel Standard (RFS) United States of America (2007)","Renewable Fuel Standard (RFS)",Country,,"United States of America",,,"Market-based instruments, Policy support, Regulatory Instruments, Codes and standards","Electricity and heat, Renewables, Transport","EPA finalizes the volume requirements and associated percentage standards that apply under the RFS program in calendar years 2014, 2015, and 2016 for cellulosic biofuel, biomass-based diesel, advanced biofuel, and total renewable fuel. EPA also finalizes the volume requirement for biomass-based diesel for 2017. This policy was started in 2007 and has had planned updates since then.",Renewables,,"In force",2007,2007,2022,High,Mitigation,"http://www.theicct.org/sites/default/files/publications/ICCTBriefing_RFS2_20140211.pdf
http://transportpolicy.net/index.php?title=US:_Fuels:_Renewable_Fuel_Standard
https://www.epa.gov/renewable-fuel-standard-program/final-renewable-fuel-standards-2014-2015-and-2016-and-biomass-based
https://www.epa.gov/renewable-fuel-standard-program/program-overview-renewable-fuel-standard-program
http://www.afdc.energy.gov/laws/390",,,"Blend of biofuel in gasoline (%)",10.1,2014,
211004670,SVK,"Operational Programme Quality of Environment for the period 2014-2020 Slovakia (2014)","Operational Programme Quality of Environment for the period 2014-2020",Country,,Slovakia,,,"Grants and subsidies, Auditing","Electricity and heat, Renewables","The Operational Programme Quality of Environment allocates investment grants from the European Regional Development Fund (ERDF) for natural and legal persons, associations or non-profit organisations.
Renewable energy projects are eligible under Priority Axis 4 ""Energy-efficient low-carbon economy in all sectors"", namely Investment Priority 4.1 ""Promoting the production and distribution of energy derived from renewable sources"".","Energy efficiency, Renewables",,"In force",2014,,,Unknown,Mitigation,http://www.res-legal.eu/search-by-country/slovakia/single/s/res-e/t/promotion/aid/subsidy-i-operational-programme-competitiveness-and-economic-growth/lastp/187/,,,,,,
211000795,BRA,"Electric power auctions - Wind Brazil (2009)","Electric power auctions - Wind",Country,,Brazil,,,"Tendering schemes, Regulatory Instruments","Electricity and heat, Renewables",,Renewables,,"In force",2009,,,Unknown,Mitigation,http://www.aneel.gov.br/,,,,,,
211003083,USA,"Volumetric Ethanol Excise Tax Credit (VEETC) United States of America (1979)","Volumetric Ethanol Excise Tax Credit (VEETC)",Country,,"United States of America",,,"Regulatory Instruments, Fiscal or financial incentives, Tax relief","Transport, Electricity and heat, Renewables",,"Other low-carbon technologies and fuel switch, Renewables",,Ended,1979,1979,2010,Unknown,Mitigation,http://www.afdc.energy.gov/afdc/laws/law/US/399,,,,,,
211003721,ESP,"Electricity Law 40/1994 Spain (1994)","Electricity Law 40/1994",Country,,Spain,,,"Grid access and priority for renewables, Strategic planning","Electricity and heat, Renewables","The Electricity Law (40/1994) passed in 1994 reorganised Spains electricity industry. This law strengthened the special protection regime for renewable energy. The guarantee on purchase contracts was five years. The new law also envisaged that prices would be set by means of governmental Royal Decree instead of an Order by the Ministry of Industry and Energy. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Renewables,,Ended,1994,,,Unknown,Mitigation,https://www.iea.org/policies/3850-electricity-law-401994?country=Spain&page=6&qs=spai,,,,,,
211004369,NGA,"Multi-Year Tariff Order (MYTO) II (2012-2017) Nigeria (2012)","Multi-Year Tariff Order (MYTO) II (2012-2017)",Country,,Nigeria,,,"Feed-in tariffs or premiums","Electricity and heat, Renewables","Establishes the regulated prices to be paid to licensed electricity generation companies in providing electricity to distribution and retailing companies for the period 1st June, 2012 to 31st May, 2017",Renewables,,Superseded,2012,2012,2017,Unknown,Mitigation,http://www.nercng.org/index.php/myto-2,,,,,,
211002121,AUS,"New South Wales Greenhouse Gas Reduction Scheme - Demand-side Abatement (DSA) Australia (2003)","New South Wales Greenhouse Gas Reduction Scheme - Demand-side Abatement (DSA)","Subnational region",,Australia,,,"GHG emissions allowances, Obligation schemes, GHG reduction target","Electricity and heat, Industry",,"Other low-carbon technologies and fuel switch",,Superseded,2003,,2008,Unknown,Mitigation,http://www.greenhousegas.nsw.gov.au/acp/energy_efficiency.asp,,,,,,
211000424,USA,"Center for Geothermal Technology Transfer United States of America (2008)","Center for Geothermal Technology Transfer",Country,,"United States of America",,,"Information and education, Information provision","Electricity and heat, Renewables",,Renewables,,Ended,2008,,,Unknown,Mitigation,http://www.energy.gov/news2009/7427.htm,,,,,,
