Unnamed: 0,Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Link,Year: implementation,Year: decision,Year: end,Indicator database source
9,Australia,AUS,NC4,1999.0,Renewable Energy Equity Fund,"The Renewable Energy Equity Fund (REEF) provided venture capital and managerial advice for small, innovative companies developing renewable energy technologies. The former Australian Centre for Renewable Energy within the Department of Resources, Energy and Tourism had policy responsibility for the program while AusIndustry administered program delivery. The Commonwealth allocated AUD 17.7 million, which was matched by private equity on a 2:1 basis, amounting to a total of AUD 26.6 million over ten years of the program. The identification and management of investments has been undertaken by an independent fund manager. The program is closed.",,,,,UNFCCC National Communications
19,Australia,AUS,NC4,2004.0,Wind Energy Forecasting Capability,"In response to an emerging challenge to the effective management of increasing amounts of wind power on electricity networks, the Australian Government has committed $14 million over five years from 2004–05 to the
development and installation of systems to provide accurate
forecasts of wind output. This capability will facilitate greater penetration of wind into energy markets, increasing the value of wind energy to electricity retailers, and allow
for more strategic planning of new wind farms.
The forecasting capability is expected to be implemented in 2006, and will be expanded over the following three years to improve performance and maximise accuracy. Emissions
reductions have not been estimated separately from MRET.",,,,,UNFCCC National Communications
19,Australia,AUS,NC4,2004.0,Wind Energy Forecasting Capability,"In response to an emerging challenge to the effective management of increasing amounts of wind power on electricity networks, the Australian Government has committed $14 million over five years from 2004–05 to the
development and installation of systems to provide accurate
forecasts of wind output. This capability will facilitate greater penetration of wind into energy markets, increasing the value of wind energy to electricity retailers, and allow
for more strategic planning of new wind farms.
The forecasting capability is expected to be implemented in 2006, and will be expanded over the following three years to improve performance and maximise accuracy. Emissions
reductions have not been estimated separately from MRET.",,,,,UNFCCC National Communications
21,Australia,AUS,NC4,2003.0,Renewable Energy Development Initiative,"Under the Renewable Energy Development Initiative (REDI), the Australian Government will provide $100 million over seven years from 2004–05 to support the development of renewable energy technology products, processes and services that have strong early-stage commercialisation and greenhouse gas abatement potential. The programme aims to support the international competitiveness of Australian industry by encouraging innovation through increasing the level of research and development, proof-of-concept and early-stage commercialisation activities undertaken by Australian companies. The assessment of project proposals commenced in August 2005. Emissions reductions have not been estimated as this measure is focused on longer-term abatement beyond 2012.",,,,,UNFCCC National Communications
21,Australia,AUS,NC4,2003.0,Renewable Energy Development Initiative,"Under the Renewable Energy Development Initiative (REDI), the Australian Government will provide $100 million over seven years from 2004–05 to support the development of renewable energy technology products, processes and services that have strong early-stage commercialisation and greenhouse gas abatement potential. The programme aims to support the international competitiveness of Australian industry by encouraging innovation through increasing the level of research and development, proof-of-concept and early-stage commercialisation activities undertaken by Australian companies. The assessment of project proposals commenced in August 2005. Emissions reductions have not been estimated as this measure is focused on longer-term abatement beyond 2012.",,,,,UNFCCC National Communications
40,Australia,AUS,NC5,2004.0,Solar Cities,"The Australian Government’s $75 million Solar Cities
initiative aims to encourage businesses and communities to
explore new sustainable models of electricity supply and use
in order to better manage peak electricity demand.
Announced by the Prime Minister in 2004 as part of the
Energy White Paper Securing Australia’s Energy Future,
Solar Cities will develop innovative approaches to electricity
pricing that deliver more effective signals to energy users.
These will be integrated with the concentrated uptake of
solar technology, energy efficiency, smart meter and load
management measures.
Solar Cities will help deliver a future where consumers
are rewarded for using energy more wisely, industry is
able to test new sustainable energy options in a low-risk
environment, and electricity utilities are able to better
manage supply and demand. Robust market data will be
collected to assess future widespread commercialisation.
The AGO aims to support at least four Solar Cities in gridconnected urban centres across Australia. Solar cities will
leverage at least $67 million over the life of the programme
from private sector and state government partners.
Solar Cities will run until 2013, with the focus to date upon
programme design and site selection. Twenty three consortia
from across Australia have expressed interest in hosting a
Solar City. Following the preparation of detailed business
cases and a rigorous selection process, an announcement
on the final locations is expected in the first half of 2006,
with implementation of the first Solar Cities expected to
commence later that year. Emissions reductions have not been
estimated as project proposals have not yet been assessed, and
as this measure is focused on longer-term abatement beyond
2012.
More details are at http://www.greenhouse.gov.au/solarcities.",,,,,UNFCCC National Communications
40,Australia,AUS,NC5,2004.0,Solar Cities,"The Australian Government’s $75 million Solar Cities
initiative aims to encourage businesses and communities to
explore new sustainable models of electricity supply and use
in order to better manage peak electricity demand.
Announced by the Prime Minister in 2004 as part of the
Energy White Paper Securing Australia’s Energy Future,
Solar Cities will develop innovative approaches to electricity
pricing that deliver more effective signals to energy users.
These will be integrated with the concentrated uptake of
solar technology, energy efficiency, smart meter and load
management measures.
Solar Cities will help deliver a future where consumers
are rewarded for using energy more wisely, industry is
able to test new sustainable energy options in a low-risk
environment, and electricity utilities are able to better
manage supply and demand. Robust market data will be
collected to assess future widespread commercialisation.
The AGO aims to support at least four Solar Cities in gridconnected urban centres across Australia. Solar cities will
leverage at least $67 million over the life of the programme
from private sector and state government partners.
Solar Cities will run until 2013, with the focus to date upon
programme design and site selection. Twenty three consortia
from across Australia have expressed interest in hosting a
Solar City. Following the preparation of detailed business
cases and a rigorous selection process, an announcement
on the final locations is expected in the first half of 2006,
with implementation of the first Solar Cities expected to
commence later that year. Emissions reductions have not been
estimated as project proposals have not yet been assessed, and
as this measure is focused on longer-term abatement beyond
2012.
More details are at http://www.greenhouse.gov.au/solarcities.",,,,,UNFCCC National Communications
44,Australia,AUS,NC5,2008.0,National Low Emissions Coal Initiative,The initiative accelerates the development and deployment of technologies that will reduce emissions from coal use.,,,,,UNFCCC National Communications
44,Australia,AUS,NC5,2008.0,National Low Emissions Coal Initiative,The initiative accelerates the development and deployment of technologies that will reduce emissions from coal use.,,,,,UNFCCC National Communications
47,Australia,AUS,NC5,2009.0,Clean Energy Initiative,"In May 2009, the Australian Government announced
the $4.5 billion Clean Energy Initiative. This
initiative is designed to support a series of measures
to encourage further innovation in clean energy
generation and low-emissions technologies, including
industrial-scale carbon capture and storage, solar
energy, and non-solar renewable technologies. The
Clean Energy Initiative complements the CPRS and
RET by supporting the research, development and
demonstration of low-emissions energy technologies.
The main components of the Clean Energy Initiative
are the Carbon Capture and Storage Flagships
Program, the Solar Flagships Program, and the
Australian Centre for Renewable Energy.",,,,,UNFCCC National Communications
