Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Auto industry - promoting demand for clean vehicles,https://www.iea.org/policies/3242-auto-industry-promoting-demand-for-clean-vehicles,"The French government wants to accelerate the renewal of the old and polluting car fleet by providing incentives to buy cleaner vehicles, new or used, in exchange for the scrapping of an old vehicle. The government will encourage the purchase of electric vehicles (EV) by reinforcing ecologic bonuses. From June 1 to the end of 2020, subsidies for the purchase of EVs with a price lower than EUR 45,000 , will be up to EUR 7,000 for individuals and EUR 5,000 for companies. A new subsidy of EUR 2,000 was also introduced for the purchase of plug-in hybrids under EUR 50,000. EUR 535 million will be used in total for 2020.  ""Prime à la reconversion"" will be reinforced from June 1 until the end of 2020. Households eligible for the scrapping scheme increased to EUR 18,000 (covering 3/4 of the population). Criteria for eligibility was relaxed to include Crit'air 3 vehicles; increased schemes for households up to EUR 3,000 for a thermal vehicle and EUR 5,000 for an EV or a hybrid rechargeable vehicle. These exceptional measures will only apply to the first 200,000 demands.  EUR 800 million are allocated in total for 2020.  The policy mobilises public demand and accelerates vehicle fleet transformation to EV and hybrid vehicles. The government imposed a target of 50% to reach within the auto industry. All B2 sequence vehicle for public demand shall adhere to electronic models.  The policy will also increase recharging points. ADVENIR will prolong the budget to EUR 100 million (2020-2023) to increase 45,000 points across the territory. Recharging points will be implemented along the main transport routes of the country and in collective buildings, with the goal of having 100,000 points by the end of 2021.  As of 19 January 2021, a complementary bonus of EUR 1 000 will be allocated for the purchase and rental of a clean vehicle.",Undefined,5 April 2022,https://www.ecologie.gouv.fr/sites/default/files/20200526_DP_Automobile.pdf,Air Quality,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Internal combustion engine (ICE)|Battery electric|Plug-in hybrid|Transport technologies|Diesel|Hydrogen and other alternative fuels,Undefined,France,2020,Ended,National,FRA
Car scrapping scheme and subsidy for  gas-fuelled trucks,https://www.iea.org/policies/12634-car-scrapping-scheme-and-subsidy-for-gas-fuelled-trucks,The Finnish government passed legislation for a passenger car scrapping premium for 2020-2021 and support the purchase of electric vehicles and the conversion of passenger cars to run on gas or ethanol. The act entered into force 1 December 2020.,Undefined,17 March 2022,https://www.lvm.fi/en/-/acts-on-passenger-car-scrapping-premium-and-purchase-support-for-gas-fuelled-trucks-into-force-1244949,Undefined,"Regulation|Energy efficiency / Fuel economy obligations|Payments, finance and taxation|Performance-based policies|Framework legislation|Targets, plans and framework legislation",Transport|Road transport,Road vehicles|Transport technologies|Vehicle type,Undefined,Finland,2020,In force,National,FIN
Korean New Deal 10 key projects – Eco-friendly mobility of the future,https://www.iea.org/policies/13208-korean-new-deal-10-key-projects-eco-friendly-mobility-of-the-future,"Among the 10 key projects of the Korean New Deal, one aims to develop electric and hydrogen mobility. To do so, the government is focusing on:   Electric cars:  A total of 1,130,000 vehicles to be supplied, as well as charging equipment   Hydrogen fuel cell cars:  A total of 200,000 vehicles to be supplied, along with the stable supplies of hydrogen fuel   Old diesel vehicles:  Promote scrapping of old diesel vehicles, including construction vehicles and farm machines   Old vessels:  Promote replacement with LNG vessels and use diesel particulate filters (DPF) for public vessels   R&Ds for future cars:  Develop parts for future electric cars, hydrogen fuel cell systems and fuels for eco-friendly vessels  A total of 8.6 trillion won (5.6 trillion won from fiscal investment) will be invested by 2022, creating 52,000 jobs, and by 2025 a total of 20.3 trillion won (13.1 trillion won from fiscal investment) will be invested, creating 151,000 jobs.",Undefined,8 July 2021,https://english.moef.go.kr/pc/selectTbPressCenterDtl.do?boardCd=N0001&seq=4940,Technology R&D and innovation,"Payments, finance and taxation|Targets, plans and framework legislation",Buildings|Transport|Road transport|Water transport,Road vehicles|Vessels|Drive train or engine|Internal combustion engine (ICE)|Battery electric|Building envelope technologies|Transport technologies|Fuel cell|Diesel|Vehicle type,Undefined,Korea,2020,In force,National,KOR
Programme for Climate Change - Sustainable Transport,https://www.iea.org/policies/12742-programme-for-climate-change-sustainable-transport,"The Programme for Climate Change encourages sustainable transport under several policies, including investment support for the installation of biogas plants to encourage the production of biomethane and include it in the transport sector. A number of subsidies are included, such as 1000 EUR for scrapping an old vehicle and buying a less polluting one. Additionally, a subsidy of 4000 EUR will be granted for individuals who purchase a new electric car and 2000 EUR for second-hand vehicles. Subsidies will also be given to businesses which build alternative fuels infrastructure stations and vehicle purchase.",IEA/IRENA Renewables Policies Database,19 July 2021,https://www.apva.lt/investicine-parama-biometano-duju-gamybai-ir-ar-bioduju-valymo-irenginiams-irengti/,Energy Efficiency|Renewable Energy,"Strategic plans|Payments, finance and taxation|Payments and transfers|Framework legislation|Targets, plans and framework legislation|Grants",Transport,Undefined,Undefined,Lithuania,2020,In force,National,LTU
Spain mobility stimulus - Program to promote electric and sustainable mobility (MOVES Plan),https://www.iea.org/policies/11564-spain-mobility-stimulus-program-to-promote-electric-and-sustainable-mobility-moves-plan,"As part of the mobility stimulus, Spain enacted a program to promote electric and sustainable mobility (MOVES Plan). The program will facilitate the continuity of investments in sustainable mobility, electrification of the vehicle fleet, deployment of charging infrastructure, and adapting value chains to cover the demand for electric and sustainable mobility. This plan is oriented in four actions:     1. Acquisition of alternative energy vehicles including electric vehicles and vehicles of heavy goods transport with natural gas2. Deployment of electric vehicle charging infrastructure, with a special incidence in job creation and the use of the industrial value chain. 3. Shared electric bicycle systems, intended for public use municipalities or metropolitan areas, or private uses in the field of companies, industrial estates, etc.  4. Measures for efficient mobility to work centres Every million euros destined to the MOVES plan is expected to involve the generation of between 3.6 and 4.1 million euros from the private sector. This program is endowed with 100 million euros, and its management will be carried out jointly with the Autonomous Communities in accordance with their powers. Update 9 April 2021: Under Spain's resilience and recovery plan submitted to the EU, Spain would allocate a budget of 400 million EUR for MOVES programme and 7000 EUR subsidy for the purchase of electric vehicles. The Programme includes subsidies for the purchase of electric vehicles (up to 7000 EUR), electric motorcycles (up to 1300 EUR) and electric vans (up to 9000 EUR). Scrapping old vehicles will be needed to access the full incentive. The plan will contribute to reach the goal of 100 000 charging points and 250 000 electric vehicles by 2023.  As of 7 October 2021, the Spanish government approved the EU RRP budget of 27,633 million EUR, whereby 40% of the resources would be used for the energy sector, of which 445 million EUR will be dedicated to the promotion of electric vehicles. As of 7 April 2022, the government allocated an additional budget of 125 million EUR from the Incentive Program for Efficient and Sustainable Mobility (MOVES III) to promote electric mobility in Catalonia, the Community of Madrid, Castilla y León and the Balearic Islands. These regions are the first to have committed the funds they originally received and have requested an extension.",IEA/IRENA Renewables Policies Database,25 April 2022,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency|Renewable Energy,"Information and education|Payments, finance and taxation|Investment in assets|Awards|Finance|Equity",Transport,Transport technologies,Undefined,Spain,2020,In force,National,ESP
Spain mobility stimulus - Vehicle Park renovation program (and car scrappage for efficient replacements),https://www.iea.org/policies/11565-spain-mobility-stimulus-vehicle-park-renovation-program-and-car-scrappage-for-efficient-replacements,"This measure aims to replace older vehicles with older models that are cleaner and safer, through a renovation program that incorporates environmental criteria. Applying the criterion of technological neutrality, this program encourages the replacement of polluting vehicles in circulation by zero or low emission vehicles. This program establishes an upper price limit for passenger cars of €35,000 (€45,000 in people with reduced mobility or vehicles with a “ZERO” label). In the case of passenger cars, the scrapping of a vehicle of at least 10 years old is compulsory, and the vehicle to be purchased must have an A or B energy label (45% more efficient supply) and emissions below 120 gCO2/km. Aid will vary depending on vehicle emissions, prioritizing the most efficient ones, and there will be additional aid for scrapping of vehicles over 20 years, beneficiaries with reduced mobility or those that belong to households with monthly income of less than 1,500 euros.",Undefined,19 July 2021,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/transportes/Documents/2020/15062020_PlanAutomocion2.pdf,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Commercial vehicles|Transport technologies,Undefined,Spain,2020,Ended,National,ESP
(demolition) subsidy for cars and electric delivery bicycle,https://www.iea.org/policies/7227-demolition-subsidy-for-cars-and-electric-delivery-bicycle,"Rotterdammers with old, polluting passenger cars or delivery vans were eligible for the subsidy for demolition of passenger cars and delivery vans until 1 December 2018. Whether there will be a follow-up to the regulation in 2019 is as yet unknown. For mopeds and scooters (older than 2010), there is in any case a scrapping scheme  in force in 2019  .",Undefined,5 November 2017,https://nederlandelektrisch.nl/subsidies-financiering/subsidies-en-regelingen,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Netherlands,2019,In force,City/Municipal,NLD
Ecobonus: Subsidy for low-emission vehicles,https://www.iea.org/policies/6789-ecobonus-subsidy-for-low-emission-vehicles,"Italy’s 2019 Budget Law (Law 30 December 2018, n. 145) established a fund for the provision of subsidies for the purchase or lease of low-emission vehicles (article 1, subsections 1041). The subsidy is granted under the following conditions:-The low-emission vehicle is brand new and is destined to passenger transport.-The low-emission vehicle is registered in Italy.-The low-emission vehicle is purchased and registered between 1 August 2020 and 31 December 2021.-The price of the low-emission vehicle has to be lower than EUR 50 000.- The CO2 emissions produced by the vehicle cannot exceed 110 g/km. The subsidy is higher if the consumer returns an old vehicle for scrapping. In particular, the subsidy is equal to:-EUR 2,000 for vehicles emitting less than 60 g/km of CO2, EUR 1 000 without scrapping.-EUR 1 500 for vehicles emitting more than 61 g/km of CO2 and less than 110 g/km of CO2, EUR 750 without scrapping. The 2019 Budget Law allocated EUR 60 million for 2019 and EUR 70 million for 2020 and 2021 each. The Relaunch Decree (Decree-Law 19 May 2020, n. 34) increased 2020 fund up to EUR 170 million and 2021 fund up to EUR 270 million (article 44).",Undefined,18 March 2022,https://ecobonus.mise.gov.it/contributi/le-agevolazioni,Energy Efficiency|Electrification,"Payments, finance and taxation|Taxes, fees and charges|Feebate|Externality taxation|GHG taxation",Transport|Road transport|Passenger transport (Road),Road vehicles|Drive train or engine|Battery electric|Hybrid|Plug-in hybrid|Transport technologies,Undefined,Italy,2019,In force,National,ITA
MOVES Program,https://www.iea.org/policies/7698-moves-program,"The MOVES Programme, with a budget of €45 million, falls within the scope of application of Directive 2014/94/EU of the European Parliament and of the Council of 22 October 2014.  The aim of this programme, managed by the IDAE (Institute for Energy Diversification and Saving), is to finance actions to support mobility based on criteria for energy efficiency, sustainability and promotion of alternative sources of energy, including the availability of electric vehicle charging infrastructure.  The following actions are eligible for subsidies:  Purchase of alternative-energy vehicles, with compulsory scrapping of the vehicle (older than 10 years in the case of M1 vehicles or older than 7 years in the case of N1 vehicles).  Deployment of electric vehicle charging infrastructure.  Deployment of electric bicycle hire systems.  Deployment of measures contained in company commuter transport plans.",Undefined,13 November 2020,https://www.electrive.com/2019/02/27/spain-subsidizing-electric-mobility-with-e45-million/,Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Transport technologies|Electric charging infrastructure",Undefined,Spain,2019,In force,National,ESP
Subsidies for electric bicycles,https://www.iea.org/policies/8721-subsidies-for-electric-bicycles,"A call for tenders is open for the assignment of economic incentives to citizens and workers of the Municipalities of the West of Turin - Collegno, Alpignano, Buttigliera Alta, Druento, Grugliasco, Pianezza, Rivoli, Rosta, San Gillio, Venaria Reale, Villarbasse - part of the ""VI.VO: get rid of cars from the West of turin"" program - who intend to buy a new electric assisted bicycle. The program is funded by the experimental national program for sustainable mobility home-work home-school of the Ministry of the Environment.  Bikers can apply for support for a maximum of 250 Euros.  The program is open to all residents or workers who fulfill at least one of the following four requirements: 1) proof of having to travel more than 10 km for regular trips home to work 2) proof of having to use more than 30 minutes of public transport for regular trips between home and work 3) are part of a family owner of a car with diesel engines to euro 5 petrol or EURO 0 and EURO 1 4) intend to reduce number of cars owned by the family unit and can present evidence of scrapping",Undefined,18 October 2019,http://www.zonaovest.to.it/modules.php?name=News&file=article&sid=135,Cities|Energy Efficiency,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road)|Private - Individual (Road),Road vehicles|Transport technologies|Active transport (incl. with motorised assistance)|Vehicle type,Undefined,Italy,2019,In force,City/Municipal,ITA
