Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
Package for the future – Mobility,https://www.iea.org/policies/13481-package-for-the-future-mobility,"Germany wants to strengthen mobility while ensuring greater sustainability and climate protection. To this end, the mobility part of the Package for the future will implement the following measures:  - Improve the vehicle tax (Kfz-Steuer für Pkw) for passenger cars in order to steer demand towards lower-emissions or emission-free vehicles. For new registrations since 1 January 2021, the vehicle tax will be based on CO2 emissions per km, and will be higher for vehicles above the 95g CO2/km threshold. The ten-year vehicle tax exemption for the purchase of electric vehicles will be granted and extended until the end of the year 2030.  - Implement an environmental premium to replace old motor vehicle fleet with electric vehicles. The already existing premium will be doubled thanks to the new ""innovation premium"". In addition, the measure on 0.25% taxation of purely electric company cars, the purchase price limit will be increased from €40 000 to €60 000.Budget forecasted: €2.2 billion - Create a bonus programme for 2020 and 2021 for car manufacturers and industry suppliers, to incite innovation thanks to new investments. Research and development for relevant technologies will receive a €1 billion fund in 2020 and 2021. Budget forecasted : €2 billion - Launch the ""Social & Mobile"" programme in 2020 and 2021 to promote electromobility and support non-profit users to convert their vehicle fleet. Budget forecasted: €200 million - Create a temporary fleet replacement programme for craftsmen and SMEs to encourage their transition to electric vehicles.Budget unknown - Develop modern and safe charging points, and expand existing charging point networks and infrastructures to make them more accessible (gas stations, hospitals, sports facilities, etc.)Budget forecasted: €2.5 billion - Continue to support the German railway company Deutsche Bahn to encourage the modernisation, expansion and electrification of the rail network. The Federal Government will contribute 1 billion euros of additional equity to Deutsche Bahn each year from 2020 to 2030. To compensate for the fall in revenues due to the Covid-19 pandemic, €5 billion of additional equity capital will be provided.  - Additional €150 million will be used to improve mobile radio reception along the 39,000 km of railway lines in Germany (conversion to GSM-R).Budget forecasted: €150 million - The ""Bus and Truck Fleet Modernisation Programme"" will promote alternative eco-friendly vehicles (e.g. e-buses). Funding for e-buses and their charging infrastructure will also be increased until the end of the year 2021. Budget forecasted: €1.2 billion  - The German government will demand the EU Commission to set up a temporary Europe-wide fleet renewal programme 2020-21. It will concern heavy-duty commercial vehicles for the purchase of trucks with the latest Euro 6 emissions standard. The government asks for a subsidy of 15,000 euros for the replacement of Euro 5 trucks and 10,000 euros for the replacement of Euro 3 or Euro 4 vehicles. Budget forecasted: unknown - Shipping will be modernised and digitalised as a climate-friendly means of transport. Germany will encourage bank rehabilitation, modernisation of locks, replacement of ships and digital test fields. €1 billion will be provided to structures and innovation programmes such as the Maritime Research Programme, the Shore Power Funding Programme, the ""LNG Refuelling Vessel Funding Programme"", the ""Fleet Renewal Programme for Authority Ships"" and a new ""Clean Ship Immediate Programme"". Budget forecasted: €1 billion - Support to convert aircraft fleets to modern aircraft emitting up to 30% less CO² and noise. Budget forecasted: €1 billion",Undefined,18 March 2022,https://www.bundesfinanzministerium.de/Content/EN/Standardartikel/Topics/Public-Finances/Articles/2020-06-04-fiscal-package.html,Energy Efficiency|Electrification|Technology R&D and innovation,"Strategic plans|Payments, finance and taxation|Taxes, fees and charges|Payments and transfers|Targets|Framework legislation|Targets, plans and framework legislation|Finance",Transport|Road transport|Economy-wide (Multi-sector)|Rail transport|Air transport|Water transport,Undefined,Undefined,Germany,2020,In force,National,DEU
Sustainable Transport - Motor vehicle tax for CO2 emitting vehicles; tax exemption for EV,https://www.iea.org/policies/11551-sustainable-transport-motor-vehicle-tax-for-co2-emitting-vehicles-tax-exemption-for-ev,"The motor vehicle tax will apply to new registrations from January 1, 2021.  This measure is more oriented towards CO2 emissions. Tax rates of 2 to 4 euros per gram per kilometre (km) are planned for first registrations, which should apply in the range of more than 95 to 195 grams of CO2 per km. This measure also strengthens electromobility, with a ten-year tax exemption (until 2030) for all electric vehicles registered in the next five years. In order to relieve the financial burden on small and medium-sized businesses, a burdensome special regulation will be abolished for certain light commercial vehicles up to 3.5 tons.",Undefined,28 October 2021,https://www.cdu.de/system/tdf/media/dokumente/2020_06_03_koalitionsausschuss.pdf?file=1&type=field_collection_item&id=20972,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Germany,2020,In force,National,DEU
Tax waivers for bus drivers - Punjab,https://www.iea.org/policies/13074-tax-waivers-for-bus-drivers-punjab,"Motor Vehicle Tax for carriages, mini buses, and school buses are exempted until December 31 2020. The tax waiver functions to assist the people during the COVID-19 pandemic. Payment of arrears of taxes is delayed to March 31 2021 without interest and penalties.",Undefined,18 May 2021,http://diprpunjab.gov.in/?q=content%2Fpunjab-cm-extends-100-tax-waiver-bus-operators-till-dec-31-defers-payment-arrears-march-31,Undefined,"Payments, finance and taxation|Taxes, fees and charges|Value added tax|Product taxation",Transport|Road transport|Mass road transit|Buses and minibuses - Local and urban service,"Road vehicles|Medium duty vehicles, small trucks and minibuses|Buses and coaches|Transport technologies|Vehicle type",Undefined,India,2020,Ended,State/Provincial,IND
Ownership Tax for Electric Vehicles,https://www.iea.org/policies/6938-ownership-tax-for-electric-vehicles,"The local government of Mexico City collects the ownership tax for private vehicles. Every year, the municipality determines the tax rate used to calculate the contribution according to the vehicle's market price.  In 2019, as in the previous years, the owners of hybrid or full-electric vehicles have been excepted from the payment of the ownership tax, as well as from the charges of vehicular control services provided by the city (number plate, vehicle registration, and transit permits). Federal states have the right to determine their own tax rates for the ownership tax.",Undefined,21 October 2019,https://s3.amazonaws.com/cdmxassets/media/Nuevas+imagenes/Control+vehicular/HIBR_ELEC_2019+ok_2.pdf,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Mexico,2019,In force,State/Provincial,MEX
Registration Tax Benefit for All-Electric Vehicles,https://www.iea.org/policies/6775-registration-tax-benefit-for-all-electric-vehicles,"The ISV (Imposto Sobre Veiculos) is a registration tax that is only paid once when the vehicle is first registered in Portugal. ISV is calculated on the basis of two criteria: the engine cubic capacity and CO2 emissions. Some types of vehicles, such as commercial and motorcycles, pay ISV based on the engine feature only. In Portugal, there are no taxes for buying an used car - only pay the registration fee. There are no regional taxes too. All-electric vehicles do not pay ISV nor IUC (Imposto Único Circulação / circulation tax).",Undefined,25 October 2019,https://impostosobreveiculos.info/english/portuguese-taxes-on-cars/,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Vehicle registration tax|Product taxation",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Portugal,2019,In force,National,PRT
Tax reduction of  CO2 based motor tax,https://www.iea.org/policies/6705-tax-reduction-of-co2-based-motor-tax,"In Ireland, the price paid for road tax is based on two different assessments; engine size if the car was manufactured before July 2008, or CO2 emissions output if the car was manufactured after July 2008. Motor tax can be taxed for a period of three months, six months or a full 12 months.",Undefined,5 November 2017,https://www.carzone.ie/news/motoringadvice/Motor-and-Road-Tax-Prices-Ireland-2017-1437.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Ireland,2019,In force,National,IRL
"Bonus-malus system for passenger cars, light trucks and light buses",https://www.iea.org/policies/2844-bonus-malus-system-for-passenger-cars-light-trucks-and-light-buses,"The Government and Parliament have decided on a bonus malus system for new passenger cars class I and II (motorhomes), light buses and light trucks. When it comes to Class II passenger cars, there is no upper limit on the total weight. The amendment applies from July 1, 2018 and only affects new vehicles registered in the Road Traffic Register as of that date. Only new class I and II passenger cars, light buses and light trucks are affected by bonus malus. When it comes to Class II passenger cars, there is no upper limit on the total weight. The vehicle tax remains unchanged for the cars rolling on the roads today. By new is meant vehicles that become taxable (taken into traffic) for the first time on July 1, 2018 or later. (The vehicle must not have been parked before, either in Sweden or abroad.) For malus, the car also has vehicle year 2018 or later. Bonus - for cars with low emissions: Environmentally adapted vehicles with relatively low carbon dioxide emissions of up to 60 g / km, are rewarded with a bonus of a maximum of SEK 60,000. Malus - increased vehicle tax: Malus means an increased vehicle tax during the first three years for petrol and diesel class I and II passenger cars, light buses and light trucks. The system entails the following changes: 1. The five-year vehicle tax exemption for environmental cars is removed. The vehicles that currently have a five-year tax exemption are not affected. But no new cars will be exempt from tax after the bonus malus has come into force.2. The super-environment car premium is replaced by a bonus for so-called climate bonus cars with low emissions.3. For petrol- and diesel-powered vehicles with vehicle year 2018 or later, an increased vehicle tax - malus - is levied during the first three years from the time the vehicle becomes taxable (taken into traffic) for the first time on July 1, 2018 or later.4. For diesel-powered vehicles that are put into service for the first time on or after July 1, 2018, the fuel factor is replaced with a fuel supplement. The fuel surcharge is calculated by multiplying the total number of grams of carbon dioxide emitted by the vehicle in mileage by 13.52.",Undefined,24 March 2021,https://www.transportstyrelsen.se/bonusmalus,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Feebate|Externality taxation|GHG taxation",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,Sweden,2018,Ended,National,SWE
Company tax benefits,https://www.iea.org/policies/6629-company-tax-benefits,"The deductibility from corporate income of expenses related to the use of company cars will be calculated on the basis of CO2 emissions. This measure will encourage to buy vehicles with zero or low emissions as a company car. All company cars are liable to two different types of taxes, a registration tax and a vehicle tax. The former, amounting to €50, must be paid on any newly registered car. The latter is calculated by multiplying three elements together: (1) the value of the CO2 emissions in g/km; (2) a value of 0.9 for cars with a diesel engine, or 0.6 for cars with a non-diesel engine; and (3) a value of 0.5 for vehicles whose CO2 is less than 90 g/km, increasing by 0.1 for each additional 10g of CO2.",Undefined,19 November 2019,https://guichet.public.lu/en/entreprises/fiscalite/impots-benefices/impots-divers/vehicules-automoteurs.html,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Tax credits and exemptions",Transport|Road transport|Freight transport (Road),"Road vehicles|Commercial vehicles|Medium duty vehicles, small trucks and minibuses|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies",Undefined,Luxembourg,2018,In force,National,LUX
CO2 emission based vehicle tax rates from 1 April 2017,https://www.iea.org/policies/6703-co2-emission-based-vehicle-tax-rates-from-1-april-2017,"The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay.Vehicle tax for the first year is based on CO2 emissions.After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are:£140 a year for petrol or diesel vehicles£130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG)£0 a year for vehicles with zero CO2 emissionsIf a vehicle has a list price (the published price before any discounts) of more than £40,000, the rate of tax is based on CO2 for the first year.After the first year, the rate depends on the type of vehicle (petrol, diesel, alternative fuel or zero emissions) and an additional rate of £310 a year for the next 5 years.After those 5 years, the vehicle will then be taxed at one of the standard rates (£140, £130, or £0, depending on vehicle type).",Undefined,5 November 2017,https://www.gov.uk/government/news/new-vehicle-tax-rates-from-1-april-2017,Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport,Road vehicles|Drive train or engine|Battery electric|Plug-in hybrid|Transport technologies,Undefined,United Kingdom,2017,In force,National,GBR
Circulation Tax for BEV,https://www.iea.org/policies/6702-circulation-tax-for-bev,"Road tax exemption / reduction depending on local policies. Main city councils (eg Madrid, Barcelona, Zaragoza, Valencia etc) are reducing the annual circulation tax (ownership tax) for electric and fuel efficient vehicles by 75%.",Undefined,14 October 2019,https://computerhoy.com/reportajes/motor/impuestos-pagas-coche-electrico-va-parar-cada-euro-363719,Cities|Energy Efficiency,"Payments, finance and taxation|Taxes, fees and charges|Congestion charge|Use and activity charges",Transport|Road transport|Passenger transport (Road),"Road vehicles|Large cars, SUVs, passenger / pickup trucks and light duty vehicles|Drive train or engine|Battery electric|Transport technologies",Undefined,Spain,2017,In force,City/Municipal,ESP
