index,country_code,Policy type,Sector,Policy,Description,Year/Date of decision,Source,cos_dup
1,DEU,Taxation,Transport,Sustainable Transport - Motor vehicle tax for CO2 emitting vehicles; tax exemption for EV,"The motor vehicle tax will apply to new registrations from January 1, 2021.  This measure is more oriented towards CO2 emissions. Tax rates of 2 to 4 euros per gram per kilometre (km) are planned for first registrations, which should apply in the range of more than 95 to 195 grams of CO2 per km. This measure also strengthens electromobility, with a ten-year tax exemption (until 2030) for all electric vehicles registered in the next five years. In order to relieve the financial burden on small and medium-sized businesses, a burdensome special regulation will be abolished for certain light commercial vehicles up to 3.5 tons.",2020,IEA,NA
2,MEX,Financial support,Transport,Ownership Tax for Electric Vehicles,"The local government of Mexico City collects the ownership tax for private vehicles. Every year, the municipality determines the tax rate used to calculate the contribution according to the vehicle's market price.  In 2019, as in the previous years, the owners of hybrid or full-electric vehicles have been excepted from the payment of the ownership tax, as well as from the charges of vehicular control services provided by the city (number plate, vehicle registration, and transit permits). Federal states have the right to determine their own tax rates for the ownership tax.",2019,IEA,NA
3,PRT,Taxation,Transport,Registration Tax Benefit for All-Electric Vehicles,"The ISV (Imposto Sobre Veiculos) is a registration tax that is only paid once when the vehicle is first registered in Portugal. ISV is calculated on the basis of two criteria: the engine cubic capacity and CO2 emissions. Some types of vehicles, such as commercial and motorcycles, pay ISV based on the engine feature only. In Portugal, there are no taxes for buying an used car - only pay the registration fee. There are no regional taxes too. All-electric vehicles do not pay ISV nor IUC (Imposto Único Circulação / circulation tax).",2019,IEA,NA
4,IRL,Taxation,Transport,Tax reduction of  CO2 based motor tax,"In Ireland, the price paid for road tax is based on two different assessments; engine size if the car was manufactured before July 2008, or CO2 emissions output if the car was manufactured after July 2008. Motor tax can be taxed for a period of three months, six months or a full 12 months.",2019,IEA,NA
5,SWE,Taxation,Transport,"Bonus-malus system for passenger cars, light trucks and light buses","The Government and Parliament have decided on a bonus malus system for new passenger cars class I and II (motorhomes), light buses and light trucks. When it comes to Class II passenger cars, there is no upper limit on the total weight. The amendment applies from July 1, 2018 and only affects new vehicles registered in the Road Traffic Register as of that date. Only new class I and II passenger cars, light buses and light trucks are affected by bonus malus. When it comes to Class II passenger cars, there is no upper limit on the total weight. The vehicle tax remains unchanged for the cars rolling on the roads today. By new is meant vehicles that become taxable (taken into traffic) for the first time on July 1, 2018 or later. (The vehicle must not have been parked before, either in Sweden or abroad.) For malus, the car also has vehicle year 2018 or later. Bonus - for cars with low emissions: Environmentally adapted vehicles with relatively low carbon dioxide emissions of up to 60 g / km, are rewarded with a bonus of a maximum of SEK 60,000. Malus - increased vehicle tax: Malus means an increased vehicle tax during the first three years for petrol and diesel class I and II passenger cars, light buses and light trucks. The system entails the following changes: 1. The five-year vehicle tax exemption for environmental cars is removed. The vehicles that currently have a five-year tax exemption are not affected. But no new cars will be exempt from tax after the bonus malus has come into force.2. The super-environment car premium is replaced by a bonus for so-called climate bonus cars with low emissions.3. For petrol- and diesel-powered vehicles with vehicle year 2018 or later, an increased vehicle tax - malus - is levied during the first three years from the time the vehicle becomes taxable (taken into traffic) for the first time on July 1, 2018 or later.4. For diesel-powered vehicles that are put into service for the first time on or after July 1, 2018, the fuel factor is replaced with a fuel supplement. The fuel surcharge is calculated by multiplying the total number of grams of carbon dioxide emitted by the vehicle in mileage by 13.52.",2018,IEA,NA
6,LUX,Taxation,Transport,Company tax benefits,"The deductibility from corporate income of expenses related to the use of company cars will be calculated on the basis of CO2 emissions. This measure will encourage to buy vehicles with zero or low emissions as a company car. All company cars are liable to two different types of taxes, a registration tax and a vehicle tax. The former, amounting to €50, must be paid on any newly registered car. The latter is calculated by multiplying three elements together: (1) the value of the CO2 emissions in g/km; (2) a value of 0.9 for cars with a diesel engine, or 0.6 for cars with a non-diesel engine; and (3) a value of 0.5 for vehicles whose CO2 is less than 90 g/km, increasing by 0.1 for each additional 10g of CO2.",2018,IEA,NA
7,GBR,Taxation,Transport,CO2 emission based vehicle tax rates from 1 April 2017,"The change doesn’t affect any vehicle registered before 1 April 2017, but drivers can check the vehicle tax rates to make sure they know what they need to pay.Vehicle tax for the first year is based on CO2 emissions.After the first year, the amount of tax that needs to be paid depends on the type of vehicle. The rates are:£140 a year for petrol or diesel vehicles£130 a year for alternative fuel vehicles (hybrids, bioethanol and LPG)£0 a year for vehicles with zero CO2 emissionsIf a vehicle has a list price (the published price before any discounts) of more than £40,000, the rate of tax is based on CO2 for the first year.After the first year, the rate depends on the type of vehicle (petrol, diesel, alternative fuel or zero emissions) and an additional rate of £310 a year for the next 5 years.After those 5 years, the vehicle will then be taxed at one of the standard rates (£140, £130, or £0, depending on vehicle type).",2017,IEA,NA
8,ESP,Taxation,Transport,Circulation Tax for BEV,"Road tax exemption / reduction depending on local policies. Main city councils (eg Madrid, Barcelona, Zaragoza, Valencia etc) are reducing the annual circulation tax (ownership tax) for electric and fuel efficient vehicles by 75%.",2017,IEA,NA
9,FRA,Taxation,Transport,Company Car Tax Benefits for EV and Hybrid Vehicles,"The TVS Tax (Taxe sur les véhicules de société) is applicable to company (passenger) cars. It is made of two components. The first component is based on CO2 Emissions (or Horse Power for older vehicles), and is calculated using a staggered approach and is exempted for vehicles <60g CO2 / km. The second component is based on environmental impact and is also staggered, and much higher for (older) diesel vehicles.  The straggered approach was aimed at encouraging companies to renew their fleet in favor of less polluting vehicles. The tax exemption was originally valid for a period of 24 months after registration.  Electric vehicles are fully exempt from the company vehicle tax (TVS). This exemption only applies to vehicles emitting less than 60g/km of CO2. Since January 1, 2018, hybrid vehicles that use both gasoline and natural gas fuel or liquefied petroleum gas are exempted permanently (if the CO2 emission rate is less than or equal to 60 grams / km) or temporarily (if CO² emission between 60 and 100 grams / km) of the first component of the TVS rate.",2017,IEA,NA
10,GBR,Taxation,Transport,Company tax benefits for Electric Vehicles,"The Government says that company car drivers choosing a pure electric vehicle will pay no benefit-in-kind (BIK) tax in 2020/21.In its response to its review of WLTP and vehicle taxes, to which Fleet News is listed as a respondent, HM Treasury has binned the previously published BIK rates for 2020/21.The Government says that existing vehicle excise duty (VED) rates – also not part of this review – will stay the same from April 6, 2020, despite the introduction of WLTP values for tax purposes from this date.",2017,IEA,NA
