Country,Policy types,Sectors,Policy,Description,Year,country_code,Source
New Zealand,Payments|finance and taxation,Buildings|Residential|Existing buildings and retrofits,Warm up New Zealand: Healthy Homes Extension for Rentals Programme,"In 2016 the Government allocated $18 million over two years for an extension of the Warm Up New Zealand: Healthy Homes programme specifically focused on rental properties. The extension provided new funding to deliver insulation to low-income rental households with high health needs (particularly households occupied by children and/or the elderly as they are at the highest health risk from cold and damp housing).  This phase, WUNZ: Healthy Homes (extension) (WUNZ: HH - extension) ran from 2016 until 30 June 2018. When this phase launched it was available for owners of rental properties only, occupied by low income tenants and/or tenants with high health needs, but the eligibility criteria was broadened by Cabinet in July 2017 to include home owners (with the same low income/high health criteria applying).",2016,NZL,IEA
New Zealand,"Payments, finance and taxation|Payments and transfers|Grants",Buildings,Warmer Kiwi Homes,"In 2018 the Government introduced the Warmer Kiwi Homes programme (a four year programme making $142.5 million in grant funding available for insulation and heating).   The programme provides grants to low-income households for insulation and heating retrofits, and is administered by the Energy Efficiency and Conservation Authority (EECA). To be eligible for an insulation grant under this programme a person needs to own the home they live in, that home must have been built before 2008, and they need to have either a Community Services Card or live in an area identified as low income. Low income households are determined using the New Zealand Deprivation Index, a tool commonly used in health planning to define low-income areas. Houses located in deprivation areas rated 8, 9 and 10 are eligible for grants.The first year of the programme focussed on insulation as the highest priority for creating warm, dry homes, with grants for heating available from July 2019. The original aim was to insulate, or install a heater (some houses will receive both) 52,000 houses over the four years of the programme.  In 2020 the programme was supplemented with an additional $56 million in funding which allows 9,000 additional houses to be retrofitted. The grants now cover 90% of the cost of getting insulation or a heater installed. The grant cap for heaters is $3000.",2018,NZL,IEA
New Zealand,"Payments, finance and taxation|Payments and transfers|Grants",Buildings|Existing buildings and retrofits,Warmer Kiwi Homes - Insulation and Heating Grants,"Warmer Kiwi Homes program provides 80% grants of the cost of ceiling, underfloor insulation, and heating equipments to low-income home-owners. As of 20 May, 2021, New Zealand government allocated NZD 47.622 million to extend the Warmer Kiwi Homes program for 2021/2022 fiscal year, and NZD 72.43 million for 2022/2023. The programme is expected to deliver a further 47 700 insulation and heating retrofits. Grants cover 80 percent of the cost of ceiling and underfloor insulation and/or an efficient heater for low income homeowners. Since the start of the programme (July 2018), over 65 000 insulation and heating retrofits have been completed.  The programme is administered by the Energy Efficiency and Conservation Authority.",2018,NZL,IEA
Czech Republic,"Payments, finance and taxation|Payments and transfers|Grants",Industry,Operational Programme Industry and Enterprise (2007-2013): ECO-ENERGY,"Operational Programme Industry and Enterprise (OPIE) Programme of support to energy savings, aimed to contribute to the reduciton of energy consumption in Czech industry by providing financial assistance to energy reduction investment projects. Demonstration projects could receive financial assistance for the following eligible costs: -The purchase of new technology and equipment to process raw energy materials, achieving higher production capacity. -The purchase of technology and equipment to reduce the energy consumption of processes connected with energy generation, conversion and distribution, on condition that the negative environmental impacts related to these processes are decreased. -The modernisation of existing equipment and energy distribution systems connected with the production process. -The purchase of new equipment to generate power or heat (of a modern design). -The implementation of combined heat and power generation (cogeneration). -The purchase of equipment for the recovery of waste heat and use of secondary heat sources. -Material to modernise energy management, improve logistics and the energy properties of buildings. Also eligible were related construction costs, project drafting costs incurred from the date of registration of an application, construction costs, the acquisition of land, and the cost of specialised software connected with the programme. The programme was designed for small and medium-sized enterprises in manufacturing, and to acheive a reduction in CO2 emissions by at least 40 tonnes a year. All projects undertaken had to be verified through an energy audit.",2007,CZE,IEA
Ireland,"Payments, finance and taxation|Taxes, fees and charges|Payments and transfers",Industry|Economy-wide (Multi-sector),Ireland Carbon Tax,"The Carbon Tax was introduced on 9  December 2009 and is updated on a yearly basis in Ireland. The carbon tax applies to the emissions from burning petrol, auto-diesel, kerosene, marked gas oil, liquid petroleum gas, fuel oil, natural gas and solid fuels, including peat and coal. Carbon tax levels: 2010  -EUR 15 per tonne 2012  -EUR 20 per tonne In 2013  Carbon Tax for Solid Fuels  was introduced. Initially the tax was EUR 10 per tonne but in 2014 it was increased to EUR 20 per tonne. Revenues gathered from the Tax finance green energy projects.    The tax was raised from €20 to €26 on petrol and diesel in October  2019, and all other fuels from May 2020.",2010,IRL,IEA
Germany,"Payments, finance and taxation|Payments and transfers",Transport,Improving the infrastructure for using bicycles,"To promote cycling the federal government adopted a National Cycling Plan, designed to initiate new strategies for and improvements to the promotion of cycling up to 2012. In addition the federal government has also made a financial commitment to cycling: in 2008 the government invested about  €100m in the construction and maintenance of cycle paths on trunk roads, in the implementation of the National Cycling Plan, and in cycling safety work. Moreover, there are many packages of measures and individual projects initiated by cities and municipalities at local level which are designed to promote cycling further.",2002,DEU,IEA
Germany,Payments|finance and taxation,Transport,Heavy goods vehicle toll,Mileage-based road toll for heavy commercial vehicles on federal motorways and some heavily used trunk roads. Spreading of the toll rate to account for pollutant class.,2005,DEU,IEA
Poland,Payments and transfers,Transport,"Economy of 25 April 2013 on the detailed conditions, manner and procedure of granting funding of the implementation of activities related to the production of biocomponents, liquid biofuels or other renewable","The regulation of Ministry of Economy of 25 April 2013  on the detailed conditions, manner and procedure of granting funding of the implementation of activities related to the production of biocomponents, liquid biofuels or other renewable fuels and the use them in transport  provides the possibility of funding of the following actions:  Investments in the production of biocomponents, liquid biofuels or other renewable fuels;  Support of ecological transport through the funding of public transport operating in urban agglomerations, in spas, in areas that protect the environment, which use liquid biofuels or other renewable fuels in the amount of at least twice the objectives set out in the National Indicative Target (NIT);  Research related to the development of new types of liquid biofuels or other renewable fuels, and relevant new constructional solutions, as well as operational implementations;  Educational programs that promote widespread use of liquid biofuels or other renewable fuels;  Promotion of the production and use of biocomponents and liquid biofuels;  Support for manufacturers of biocomponents and fuel producers;  Parking charges for vehicles fueled with liquid biofuels;  Purchase of new vehicles fueled with liquid biofuels.   The funding will be provided in the form of subsidy on the basis of the grant agreement signed between the Ministry of Economy, and the beneficiary selected in a course of designed contest . Expenses related to the above mentioned activities will be specified in the Budget Act, in the amount of 1.5% planned in the previous year, revenues from excise duties on motor fuels. The level of funding varies for each activity and is specifically defined in the Regulation.",2013,POL,IEA
Poland,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Mass road transit,Low emission urban transport - GAZELA BIS,"Aim of the programme is to reduce or avoid carbon emissions by financing projects aiming at the reduction of energy and fuel consumption in urban transport.The total cost of project should not be less that 8 mln PLN (ca. 1,9 mln EUR). The beneficiaries of the program can be: 1) municipalities;2) utility companies that maintain the tasks of local public transport of municipalities;3) other service providers in the local urban transport under a contract with the municipality. Types of projects:  Grants may be awarded for the implementation of projects aimed at reducing energy and fuel consumption in transportation. The program includes the following activities: 1) the rolling stock such as: a) the purchase of new hybrid buses fuelled by CNG,b) training of drivers of public transport vehicles on low-emission fleet service, 2) infrastructure and management such as: a) the modernization and construction of refuelling service stations of public transport vehicles to adapt to the hybrid buses CNG fuelled,b) the modernization and construction of bike paths,c) the modernization and construction of bus lanes,d) the modernization and construction of car parks ""Park and Ride""e) the implementation of urban transport management systems,f) the implementation of urban bicycle system.",2013,POL,IEA
Colombia,"Strategic plans|Regulation|Codes and standards|Building codes and standards|Targets, plans and framework legislation",Transport,Policy guideline for the promotion of sustainable biofuels production in Colombia (Conpes 3510),"In 2008, The National Council for Economic and Social Policy (CONPES) led by the National Planning Department (DNP), made a guideline document for the National Biofuel Policy. This document assesses the development of the biofuels market in Colombia as a result of the incentives and policies for biofuels promulgated in the 2000s; defines the principal objectives sought by the policy in the short and long term; and defines guidelines and recommendations for the policymakers in order to achieve and follow the defined objectives.",2008,COL,IEA
