Country,Policy types,Sectors,Policy,Description,Year,country_code,Source,Comment
China,"Policy support, Sectoral standards, Monitoring, Research & Development and Deployment (RD&D)","Industry, Electricity and heat",Energy Conservation Law (Legislative) China (1997),Legislative,1997,CHN,CPD,
People's Republic Of China,Strategic plans|Regulation|Codes and standards|Monitoring,"Buildings|Services|Industry|Power, Heat and Utilities|Power generation",THE 10TH FIVE-YEAR PLAN FOR ECONOMIC AND SOCIAL DEVELOPMENT OF THE PEOPLE'S REPUBLIC OF CHINA (2001-2005),"China Tenth Five-Year Plan (2001-2005)The principal objectives of the plan include: 1. Sufficient utilization of clean energies like natural gas, hydropower and nuclear power 2. Promoting new energy and renewable energy like solar PV and wind3. Advancing clean coal technology 4. diminishing and decreasing reliance on coal targets 5. Achieving sustainable development of energyRenewable Energy Promotions LawUnder the direction of the National Development and Reform Commission, China Center for Renewable Energy Development (CRED) €” the Renewable Energy Development and Utilization Promotion Law. meet short-term energy needs while strengthening long-term sustainable development objectives. -to reduce air pollution, safeguard human health and the environment, and provide power to off-grid rural areas as well as contribute to mitigating climate change. -synthesize market economic with energy security initiatives. Incentive policies to create market opportunities for renewable energy on the local, enterprise, and public promotion levels -CRED will work with various Chinese government ministries, environmental committees and utility companies, as well as a variety of Chinese experts and international organizations, in drafting the new lawPreferential Tax Policies for Renewable EnergyAs of 2003, foreign investment in both biogas and wind energy production also benefits from a reduced income tax rate of 15%, as opposed to 33%. Renewable energy enterprises and bio-energy development projects can also request income tax reduction or exemptions. In addition wind turbines and their main components, as well as photovoltaic modules, benefit from preferential customs duty rates. As of September 2007, the Chinese government was developing a series of preferential tax policies to encourage the development of energy conservation and renewable energy. The new incentives include income tax cuts for the producers and consumers of renewable energy, as well as a reduction of the import tax for ""green"" equipment.Reduced VAT for renewable energyIn 2001 value added tax (VAT) for wind power cut in half, to 8.5% (normal rate 17%). In the same year, a circular determined that VAT collected for using municipal solid waste for power generation would be refunded back to the producer. In 2003, the VAT for biogas production was also reduced to 13%.tax and subsidization policy designed to promote hydropower and new energy industries. For instance, production value-added tax (VAT) will be changed to consumption VAT.Renewable Targetsthe Tenth Five-Year Plan emphasizes the commercialization of PV and wind technologies, diesel and battery systems, bioelectricity, geothermal energy, and fuel forests in rural areas.-Inclusive of small hydropower, wind, and solar energy projects -Wind farms are planned for Xinjiang, Inner Mongolia, Hebei, Jilin, Liaoning, Hubei, and Guangdong provinces with a combined capacity of 500 MW.-Electricity production goals: Reach 13 metric tons of coal equivalent (Mtce) of electricity using new and renewable energy (excluding small hydropower and traditional use of biomass), with corresponding CO2 reduction of 10 metric tons (Mt) and SO2 reduction of at least 0.6 Mt. -Remote power: Provide power for 1.3 million families (5-6 million people) in remote areas, and provide employment for 200,000 people. -Solar water heating: Increase annual solar water heating to 11 million square meters (m2), with the cumulative amount of 64 million m2. There will be 5-10 large-scale enterprises with internationally competitive ability. -Solar electricity: Increase production capacity of solar cells to 15 megawatts (MW) each, with a cumulative capacity of 53 MW. -Wind power: Increase installed capacity of grid-connected wind power to 1.2 gigawatts, with manufacturing capacity at 150-200 MW to meet domestic market demand. -Geothermal energy: Increase the production of geothermal energy to 20 million m2. -Bioenergy: Increase gas supplies",2001,CHN,IEA,
People's Republic Of China,Regulation|Codes and standards|Sectoral standards|Product-based MEPS,Buildings|Industry,Management Method for Certification of Energy-saving Products,"In 1999, the China National Institute of Standardization (CNIS) promulgated the process of revising single-period mandatory energy efficiency standards that were more consistent with international best practices. Alongside this development,    China Standards Certification Center launched a new voluntary energy efficiency endorsement labelling program targeting the top 25% most efficient products.The NDRC also issued the Management Method for Energy Conservation Products Certification to establish the administrative framework for certifying standards and the voluntary endorsement label.These policies first put forth in 1999 has grown since.Related policies include developments in 2005:The mandatory energy efficiency label identifies a product's efficiency on a scale of 1 to 5, with one being the least efficient and 5 the most. Labels must be present at the point of sale of any product covered by the mandate. Manufacturers are required to submit product performance information to CELC but allowed to print the label on their own products and product literatures.Initially covering only two products, today the mandatory energy efficieny label covers:room air-conditionerhousehold refrigeratorelectric washing machineself-contained air-conditionerself-ballasted fluorescent lamphigh pressure sodium lampgas water heaterwater chilling unitsmall and medium-sized three-phase asynchronous motorvariable speed room air-conditionermulti-connected air-conditioner unithousehold electromagnetism stoveelectric storing water heatercomputer monitorphotocopierair compressorAC contactorautomatic rice cookerAC electric fan",2004,CHN,IEA,potentially Labels_Appliances in building sector
People's Republic Of China,"Regulation|Codes and standards|Payments, finance and taxation|Operational funding for institutions|Public procurement",Buildings|Residential|Services|Industry|Transport,Medium and Long-term Plan of Energy Conservation: 10 Energy Conservation Programmes,"Launched in 2004, the Medium and Long-term Plan of Energy Conservation covers the 2005-10 and the 2010-20 period. It details energy conservation aims and implementation plans to be undertaken during the 11th five year period (2006-10) and beyond. The Plan puts forward ten key energy conservation programmes.These include programmes to upgrade coal-burning kilns and electric motor systems, improve district co-generation, and undertake fuel switching and conservation activities (see separate entries). The other six programmes are:Residual heat and pressure useIron and steel enterprises are to apply coke dry quenching and recover waste energy from blast furnaces for energy production, as well as renovate blast furnace gas power generation and implement converter gas recovery.Optimise energy systems in major industries, primarily metallurgical, petrochemicals and chemicals.Adopt energy conservation standards for buildings (see separate entry).Promote energy conservation in government agencies, including through building efficiency as well as equipment and vehicle procurement.Monitoring and Technical Services: Energy and energy-saving monitoring centres in provinces and major industries are to be improved, through upgrading of equipment, training of personnel, and promoting energy service contracts.Such centres would provide a range of energy services, from diagnosis, design, financing, renovation, operation and management.Green Lighting: Replacement of ordinary incandescent lamps with high-efficiency compact fluorescent light bulbs (CFLs), replacement of traditional electromagnetic ballast with electronic ballast, and using light emitting diodes (LEDs) in traffic lights.",2004,CHN,IEA,
People's Republic Of China,"Regulation|Codes and standards|Other regulatory instruments|Payments, finance and taxation|Operational funding for institutions|Investment in assets",Industry,Conversion of Exhaust Heat and Pressure,"Within the 11th Five Year Period (2006 - 2010), the Chinese government has mandated the efficient use of exhaust, pressure and heat from mining and industrial processes. Iron and steel enterprises will - apply coke dry quenching (CDQ) and power generation through the pressure difference in blast furnace, renovate all blast furnace gas power generation and implement converter gas recovery to save 2.66 million tons of standard coal; - install each year 30 sets of medium-and-low-temperature exhaust-heat power generation equipment in concrete production lines with a daily yield of 2,000 tons; - exploit ground coalbed gas (CBG), extracting and draining gas in ground mined-out areas, discarded mines and below the grand surface, to realize an annual gas application of one billion cubic meters, equivalent to saving 1.35 million tons of standard coal.",2006,CHN,IEA,
People's Republic Of China,Strategic plans|Regulation|Codes and standards|Equipment sales obligation|Other regulatory instruments|Intellectual property regimes|Monitoring,Industry|Power generation|Economy-wide (Multi-sector),Renewable Energy Law of the People’s Republic of China,"The Renewable Energy Law is a framework policy which lays out the general conditions for renewable energy to become a more important energy source in the Peoples Republic of China. It covers all modern forms of renewableThe Renewable Energy Law is a framework policy which lays out the general conditions for renewable energy to become a more important energy source in the Peoples Republic of China. It covers all modern forms of renewable energy, i.e. wind, solar, water, biomass, geothermal and ocean energy, but not to low-efficiency burning of straw, firewood and dejecta. Renewable energy becomes the preferential area for energy development under this law. Furthermore, research and development and the industrial development of renewable energy is listed as the preferential area for hi-tech industrial development in the national programme. According to the renewable energy law, the State Council is responsible for overall implementation and management for the development and utilization of renewable energy at the national level. It sets middle- and long-term targets for the total volume of renewable energy development, and, on the basis of this, will prepare national plans for the implementation of these targets. In drawing up these targets and plans, it will cooperate with the regional and local peoples governments to reflect regional differences in the final plans. Renewable power generation projects will have to obtain an administrative permit to proceed with project development; should there be more than one application for the same project licence, an open tendering process will be held. Project developers that have obtained an administrative permit will be guaranteed a connection to the power and gas grid. All output can be sold at guaranteed prices to the grid company, where prices will be determined by the price authorities of the State Council. Grid operators will be able to recover extra costs associated with this regime through their own selling prices. Producers of gas and heat from renewable sources which conform to urban gas or heat pipeline standards will have guaranteed access to these pipelines. Gas-selling enterprises shall include biological liquid fuel conforming to the national standard into its fuel selling system. Energy authorities of local peoples governments shall prepare renewable energy development plans specifically for rural areas with specific financial support. Standards for renewable energy technologies will be set by the standardization authorities of the State Council. In case of breaches of the law by government entities, or grid, gas pipeline or fuel companies, penalties can be imposed by the relevant superior government authority. The Renewable Energy Law is comprised of 8 chapters and has gone through one amendement subsequently in 2009.These chapters include:I General ProvisionLegitimizes renewable energy as the priority tool for development, utilization, and adaptation (see Article 4)Designates wind, solar, hydro, bio, geothermal, and ocean energy, etc. as renewable (see Article 1)II Resources Investigation and DevelopmentIt sets middle- and long-term targets for the total volume of renewable energy development, and, on the basis of this, will prepare national plans for the implementation of these targets. (see Article 1)In drawing up these targets and plans, it will cooperate with the regional and local peoples governments to reflect regional differences in the final plans. Renewable power generation projects will have to obtain an administrative permit to proceed with project development should there be more than one application for the same project licence, an open tendering process will be held. Pro",2006,CHN,IEA,
People's Republic Of China,Undefined,Industry,Strategic Plan for Industrial Efficiency,"Within the 11th Five-Year Period, Chinas strategic plan for energy efficient industrial processes involves equipment renovation and the design and implementation of process optimization and management measures. Targetting the metallurgical industry, petrochemical industry, and chemical industry, the Chinese state aims to improve energy efficiency and industrial competitiveness to ""the highest level or close to the worlds front-runners.""",2006,CHN,IEA,
People's Republic Of China,Voluntary approaches|Negotiated agreements (public-private sector),Industry,Top 1000 Industrial Energy Conservation Programme,"The Office of National Energy Leading Group and the General Administration of Quality Supervision, Inspection and Quarantine are also involved. Beyond the five central governmental agencies, provincial governments (provincial Development and Reform Commission or Economic and Trade Commission) will work data collection, monitoring and guiding on enterprises, etc. Sector associations will play key roles in the creation of indicator and evaluation system. They will also play important roles in information collection and disclosure, training, and others. An information system and website for the Top-1000 Programme will be established by the National Bureau of Statistics (NBS). This website will link with NDRC website and the websites of these enterprises. NBS will be responsible for the tracing, statistics and auditing of the energy utilization status of these enterprises.On April of every year, NDRC and NBS will jointly release the energy utilization information of these enterprises, as well as the advanced levels of domestic and foreign enterprises of the last year. Role of industrial associations The responsibilities of industry associations and energy conservation centers include:(1) formulate and assist in the implementation of the indicator and evaluation system for industry energy utilization and conservation, and conduct evaluation of enterprise energy usage;(2) collect information concerning the advanced levels of energy consumption of the domestic and western enterprises, and establish relevant database;(3) provide enterprises with information and technical assistance;(4) provide training for enterprises Role of Top 1000 enterprises:1) establish energy conservation organization, formulate energy efficiency goals2) establish energy use reporting system3) conduct energy auditing4) formulate energy conservation plan5) invest in energy efficiency improvements6) adopt energy conservation incentives, training Management, Supervision, and IncentivesEnergy Conservation PlanAll participating enterprises are asked to formulate and implement energy conservation plans. Clear targets for energy conservation should be established in the Plan. Energy conservation measures should be provided. Annual implementation plan should be involved. The Plan must be reviewed by provincial DRC or ETC. Management, Supervision, and Incentives - Other Incentives Governments at different levels should provide enterprise with economic incentives, including, for example a list of Energy Conservation Products to receive tax incentives.",2006,CHN,IEA,
China,"Information and education, Other mandatory requirements, Policy support, Strategic planning, Regulatory Instruments","Electricity and heat, Industry, Buildings",Demand-Side Management Implementation Measures China (2010),NA,2010,CHN,CPD,
China,Energy and other taxes,"Transport, Heavy-duty vehicles, Light-duty vehicles, Industry, Agriculture and forestry, Buildings, Electricity and heat",Fuel excise tax China (2012),"Diesel, gasoline and fuel oil are taxed under this taxation scheme. This translates into taxation of about 7% of energy consumed in the heating and process category. Other fuels such as other oil products, natural gas and coal are untaxed. The tax also applies to diesel and fuel oil consumed for electricity generation, but their share in total generation is limited.",2012,CHN,CPD,should be ExciseTaxes_I
