Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
"""Move without leaving a footprint"" program",https://www.iea.org/policies/12982-move-without-leaving-a-footprint-program,"In order to support public policies and encourage the country's sustainable economic reactivation BancoEstado, the Ministry of Transport and Telecommunications, and the Municipality of Santiago launched the campaign ""Move without leaving a trace"", which includes a credit with a preferential monthly rate of 0.56% for the purchase of electric vehicles.",Undefined,20 July 2021,https://www.mtt.gob.cl/archivos/27018,Electrification,"Payments, finance and taxation|Finance|Loans (incl. concessional loans)",Transport|Road transport,Drive train or engine|Battery electric|Transport technologies,Undefined,Chile,2020,In force,National,CHL
Australia's CEFC investment in Electric Vehicle smart charging infrastructure,https://www.iea.org/policies/12481-australias-cefc-investment-in-electric-vehicle-smart-charging-infrastructure,"JET Charge, Australia’s leading specialist in electric vehicle (EV) charging infrastructure, has had a successful close of its Series A capital raise, which included a $3.5 million investment from the Clean Energy Finance Corporation (CEFC).  The $3.5 million CEFC equity investment, through the Clean Energy Innovation Fund, is part of the company’s latest capital raising round, of $4.5 million, which also drew co-investment from industry executives and private investors. The fundraise will support JET Charge in the deployment of smart charging hardware under a services-based model, to help drive down the cost of smart and connected EV charging stations and make them more user friendly for drivers.",Undefined,5 April 2022,https://www.cefc.com.au/media/media-release/jet-charge-and-cefc-pave-the-way-to-cheaper-charging-for-electric-vehicles/,Energy Efficiency,"Payments, finance and taxation|Investment in assets|Finance|Equity",Transport|Road transport,Drive train or engine|Battery electric|Transport technologies,Undefined,Australia,2020,In force,National,AUS
CIB growth plan - Zero-emission buses and charging infrastructure investment,https://www.iea.org/policies/12395-cib-growth-plan-zero-emission-buses-and-charging-infrastructure-investment,"Through the Canada Infrastructure Bank (CIB) Growth Plan, CAD 1.5 billion has been allocated to accelerate the adoption of zero-emission buses and charging infrastructure so Canadians can have cleaner commutes.  This spending, as with other CIB packages, has an emphasis on public-private partnerships. It is estimated CIB Growth Plan Measures will create approximately 60,000 jobs across the country.",Undefined,21 October 2021,https://cib-bic.ca/en/the-canada-infrastructure-bank-announces-a-plan-to-create-jobs-and-grow-the-economy/,Energy Efficiency,"Payments, finance and taxation|Investment in assets|Finance",Transport|Road transport|Mass road transit,Buses and coaches|Transport technologies|Refuelling and charging infrastructure,Undefined,Canada,2020,In force,National,CAN
Canada Healthy Communities Initiative,https://www.iea.org/policies/11924-canada-healthy-communities-initiative,"The Canada Healthy Communities Initiative will provide up to 31 million in existing federal funding to support communities over the next 2 years as they respond to COVID-19. Two of the three priority areas support active and public transportation: ""Creating safe and vibrant public spaces"", for projects that create new or adapt existing public places, and ""Improving mobility options"", for projects that permit physical distancing through permanent or temporary changes that make it easier for people to walk, bike, access public and private transit, or meet with other people. It is not currently clear what portion of funds will be spent on green mobility measures. The third priority area is to deliver digital solutions, through innovative infrastructure-related projects that address changing community needs through the use of data and connected technologies. This also has the potential to support digitalisation and clean energy transitions (but not explicitly linked to clean energy and digitalisation). Funding for the Initiative is being repurposed from existing funding for a second Smart Cities Challenge competition to support communities in dealing with the immediate and ongoing challenges posed by COVID-19.",Undefined,22 March 2022,https://www.infrastructure.gc.ca/chci-iccs/index-eng.html,Digitalisation|Energy Efficiency,"Payments, finance and taxation|Payments and transfers",Transport|Passenger transport (Road),Road vehicles|Rail vehicles|Transport technologies|Active transport (incl. with motorised assistance)|Digital technologies and systems|Other digital technologies and systems,Undefined,Canada,2020,In force,National,CAN
Climate and nature protection action plan - PEDELEC 2020,https://www.iea.org/policies/13930-climate-and-nature-protection-action-plan-pedelec-2020,"Under the Cimate and Nature Conservation Action Plan, the Ministry of Innovation and Technology is providing support for the purchase of electric bicycles in the form of grants. The support, which aims to reduce air pollution, will be implemented by IFKA Közhasznú Nonprofit Kft. The PEDELEC 2020 grants will be available with intermittent submission periods from November 23, 2020. The total budget for the initiative is HUF 1 billion.",Undefined,18 March 2022,https://www.ebike2go.hu/hirek/pedelec-2020-palyazati-kiiras,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,2 and 3 wheelers (motorised)|Battery electric|Transport technologies|Vehicle type,Undefined,Hungary,2020,In force,National,HUN
Decree 829 of 2020 - Tax incentives for non-conventional renewable energies - streamlined procedure,https://www.iea.org/policies/12834-decree-829-of-2020-tax-incentives-for-non-conventional-renewable-energies-streamlined-procedure,"With the issuance of Decree 829 of 2020, the National Government facilitates the process of tax incentives defined in Law 1715 of 2014 by delegating the Mining and Energy Planning Unit (UPME) as the unique entity to evaluate and certify projects of non-conventional sources of energy. Companies will thus be able to access the tax benefits in 45 days instead of 3 months.   Through the National Development Plan 2018-2022 and Law 1715 of 2014, the National Government granted tax incentives for projects from Non-Conventional Sources of Energy (income deduction, VAT exclusion, exemption from tariff duties and depreciation accelerated) and energy efficiency (income deduction).      The updated regulations expand the investments that qualify as RES or EE investments, including activities such as plant expansion and process improvements.  The decree also adds required legal studies to the list of activities that are already considered as valid investments. The non-electrical uses of RES are now included within the scope of EE for purposes of the special deduction.",IEA/IRENA Renewables Policies Database,22 March 2022,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO%20829%20DEL%2010%20DE%20JUNIO%20DE%202020.pdf,Renewable Energy,"Payments, finance and taxation|Taxes, fees and charges|Accelerated depreciation|Value added tax|Tax credits and exemptions|Import tax|Investment tax incentives","Transport|Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Undefined,Undefined,Colombia,2020,In force,National,COL
Economic Stimulus Package,https://www.iea.org/policies/13426-economic-stimulus-package,"In response to the Covid-19 pandemic and economic crisis, Germany unveiled a set of measures to insure a fast and sustainable economic recovery.  The country invested €130 billion for 2020 and 2021. The goals of this economic stimulus package are to strengthen the economy, preserve, help to face economic and social hardships, strengthening Länder and municipalities and providing support to youth and families.  Measures include:A value added tax (VAT) reduction in the 1 July to 31 December 2020 period€300 per-child allowance for families- Support for local authorities: support to public transport system, compensation for company tax drop and support to finance accommodation for people in needReduction in electricity costs: the Renewable Energies Act levy on electricity will be reduced as of 2021Package for the future (Zukunftspaket): €50 billion euros allocated to finance support and tax breaks for research and development of quantum computing, artificial intelligence, hydrogen technologies and electric vehicles.",IEA/IRENA Renewables Policies Database,8 April 2022,https://www.bundesregierung.de/breg-en/search/konjunkturpaket-1757640,Energy Poverty|Technology R&D and innovation|Renewable Energy,"Strategic plans|Payments, finance and taxation|Targets, plans and framework legislation|Finance","Transport|Road transport|Power, Heat and Utilities|Economy-wide (Multi-sector)|Electricity and heat generation",Undefined,Undefined,Germany,2020,Ended,National,DEU
"Electromobility - 3 separate programmes (""Green Car"", ""eVAN"" and ""Koliber"")",https://www.iea.org/policies/12235-electromobility-3-separate-programmes-green-car-evan-and-koliber,"The Ministry of Climate and the National Fund for Environmental Protection and Water Management launched three electromobility programmes, aiming to stimulate the economy and the development of EVs in Poland.  These programmes are as follow: - The ""Green Car"" programme, which is direct subsidies distributed for the purchase of electric vehicles. The subsidy does not exceed more than 15% of the elgible costs (which are also constrained to be less than PLN 125 000). PLN 37.5 million are allocated to this programme. - The ""eVAN"" programme, which is subsidies for entrepreneurs to incentivise the purchase of an electric van. The subisidy can reach up to PLN 5000. PLN 70 million will be allocated to this programme. -  The ""Koliber"" programme, supporting the purchase of electric taxis. PLN 40 million will be allocated to this programme. Overall, PLN 150 million are expected to be spent through these electromobility programmes. This plan is part of the Green Investments Plan, published in early 2020.",Undefined,28 October 2021,https://www.gov.pl/web/klimat/nfosigw-dofinansuje-zakup-pojazdow-elektrycznych,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Battery electric|Transport technologies,Undefined,Poland,2020,In force,National,POL
Faster Adoption and Manufacturing of Hybrid and Electric Vehicles (FAME) Scheme - Phase I & II,https://www.iea.org/policies/12517-faster-adoption-and-manufacturing-of-hybrid-and-electric-vehicles-fame-scheme-phase-i-ii,"The Faster Adoption and Manufacturing of Electric Vehicles (FAME) scheme was launched in April 2015 under the National Electric Mobility Mission, to encourage electric and hybrid vehicle purchase by providing financial support. Its first phase ran for four years until 2019. The second phase (FAME II) is a 3-year subsidy programme. It aims at supporting the electrification of public & shared transportation: around 7,000 electric and hybrid buses, 500,000 lakh electric three wheelers, 55,000 electric four wheeler passenger cars, and 1 million electric two wheelers. It also finances charging infrastructures Under Phase-I of the Scheme where 427 charging stations had been installed.",Undefined,4 April 2022,https://pib.gov.in/PressReleasePage.aspx?PRID=1741569,Electrification,"Payments, finance and taxation|Funds to sub-national governments|Payments and transfers",Transport|Road transport|Passenger transport (Road)|Buses and minibuses - Local and urban service,Road vehicles|2 and 3 wheelers (motorised)|Buses and coaches|Drive train or engine|Battery electric|Hybrid|Transport technologies|Electric charging infrastructure|Refuelling and charging infrastructure,Undefined,India,2020,In force,National,IND
Finance to Green Aerospace RDD,https://www.iea.org/policies/12686-finance-to-green-aerospace-rdd,"The UK Business Secretary announced a GBP 200 million grant, delivered through the Aerospace Technology Institute (ATI) program, that will be matched by industry for a total investment of GBP 400 million in aerospace research and technology. The grant will enable ambitious projects to lift off and support economic recovery following the pandemic. Projects include developing high-performance engines, new wing designs, ultra-lightweight materials to reduce fuel consumption, energy-efficient electric components, and other brand new concepts to enhance innovation in the sector.",Undefined,27 October 2021,https://www.gov.uk/government/news/uk-aerospace-sector-to-benefit-from-400-million-funding-to-go-green,Technology R&D and innovation,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Air transport,Aircraft|Transport technologies|Vehicle type,Undefined,United Kingdom,2020,In force,National,GBR
