Policy,URL,Description,Source,Last updated,Learn more,Topics,Policy types,Sectors,Technologies,End uses,Country,Year,Status,Jurisdiction,country_code
"""Move without leaving a footprint"" program",https://www.iea.org/policies/12982-move-without-leaving-a-footprint-program,"In order to support public policies and encourage the country's sustainable economic reactivation BancoEstado, the Ministry of Transport and Telecommunications, and the Municipality of Santiago launched the campaign ""Move without leaving a trace"", which includes a credit with a preferential monthly rate of 0.56% for the purchase of electric vehicles.",Undefined,20 July 2021,https://www.mtt.gob.cl/archivos/27018,Electrification,"Payments, finance and taxation|Finance|Loans (incl. concessional loans)",Transport|Road transport,Drive train or engine|Battery electric|Transport technologies,Undefined,Chile,2020,In force,National,CHL
A Healthy Environment and a Healthy Economy Plan - Clean and affordable transport and power,https://www.iea.org/policies/12690-a-healthy-environment-and-a-healthy-economy-plan-clean-and-affordable-transport-and-power,"One of the five pillars of the CAD 15 billion A Healthy Environment and a Healthy Economy climate plan, announced in December 2020, is a collection of actions focused on making clean, affordable transportation and power available in every community.     Announced initiatives to support clean and affordable transport includes:    - Invest an additional CAD 287 million over two years to continue the Incentives for Zero-Emission Vehicles (iZEV) program until March 2022. The program provides a rebate of up to $5000 on a light-duty zero-emission vehicle.    - Invest an additional $150 million over three years in low-emissions vehicle charging and refueling stations across Canada, as announced in the 2020 Fall Economic Statement.    - Work to align Canada’s Light-Duty and Heavy-Duty Vehicle regulations with the most stringent performance standards in North America post-2025, whether at the United States federal or state level.    - Continue the 100-percent tax write-off for commercial light-duty, medium- and heavy-duty ZEVs.     Announced initiatives to support clean and affordable transport include to:     - Invest an additional $964 million over four years to advance smart renewable energy and grid modernization projects.    - Invest an additional $300 million over five years to advance the government’s commitment to ensure rural, remote and Indigenous communities that currently rely on diesel have the opportunity to be powered by clean, reliable energy by 2030. Update August 2021: Under the ""zero-emission vehicle infrastructure program"" with a budget of CAD 280 million until 2024 EV chargers have been installed across CanadaUpdate July 2022: The purchase incentive program was extended until March 2025 with an additional $1.7 billion from budget 2022 and the eligible types of vehicle models were expanded as well.",IEA/IRENA Renewables Policies Database,20 July 2022,https://www.canada.ca/en/environment-climate-change/news/2020/12/a-healthy-environment-and-a-healthy-economy.html,Electrification|Renewable Energy|Energy Security,"Strategic plans|Regulation|Information and education|Payments, finance and taxation|Taxes, fees and charges|Performance-based policies|Payments and transfers|Awards|Prescriptive requirements and standards|Targets, plans and framework legislation","Transport|Road transport|Power, Heat and Utilities|Power transmission and distribution|Economy-wide (Multi-sector)|Rail transport",Transport technologies|Wind|Solar PV|Hydropower (excl. pumped hydro)|Electricity generation and CHP technologies|Other transport infrastructure|Refuelling and charging infrastructure|Vehicle type,Undefined,Canada,2020,In force,National,CAN
Auto industry - promoting demand for clean vehicles,https://www.iea.org/policies/3242-auto-industry-promoting-demand-for-clean-vehicles,"The French government wants to accelerate the renewal of the old and polluting car fleet by providing incentives to buy cleaner vehicles, new or used, in exchange for the scrapping of an old vehicle. The government will encourage the purchase of electric vehicles (EV) by reinforcing ecologic bonuses. From June 1 to the end of 2020, subsidies for the purchase of EVs with a price lower than EUR 45,000 , will be up to EUR 7,000 for individuals and EUR 5,000 for companies. A new subsidy of EUR 2,000 was also introduced for the purchase of plug-in hybrids under EUR 50,000. EUR 535 million will be used in total for 2020.  ""Prime à la reconversion"" will be reinforced from June 1 until the end of 2020. Households eligible for the scrapping scheme increased to EUR 18,000 (covering 3/4 of the population). Criteria for eligibility was relaxed to include Crit'air 3 vehicles; increased schemes for households up to EUR 3,000 for a thermal vehicle and EUR 5,000 for an EV or a hybrid rechargeable vehicle. These exceptional measures will only apply to the first 200,000 demands.  EUR 800 million are allocated in total for 2020.  The policy mobilises public demand and accelerates vehicle fleet transformation to EV and hybrid vehicles. The government imposed a target of 50% to reach within the auto industry. All B2 sequence vehicle for public demand shall adhere to electronic models.  The policy will also increase recharging points. ADVENIR will prolong the budget to EUR 100 million (2020-2023) to increase 45,000 points across the territory. Recharging points will be implemented along the main transport routes of the country and in collective buildings, with the goal of having 100,000 points by the end of 2021.  As of 19 January 2021, a complementary bonus of EUR 1 000 will be allocated for the purchase and rental of a clean vehicle.",Undefined,5 April 2022,https://www.ecologie.gouv.fr/sites/default/files/20200526_DP_Automobile.pdf,Air Quality,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Drive train or engine|Internal combustion engine (ICE)|Battery electric|Plug-in hybrid|Transport technologies|Diesel|Hydrogen and other alternative fuels,Undefined,France,2020,Ended,National,FRA
Car scrapping scheme and subsidy for  gas-fuelled trucks,https://www.iea.org/policies/12634-car-scrapping-scheme-and-subsidy-for-gas-fuelled-trucks,The Finnish government passed legislation for a passenger car scrapping premium for 2020-2021 and support the purchase of electric vehicles and the conversion of passenger cars to run on gas or ethanol. The act entered into force 1 December 2020.,Undefined,17 March 2022,https://www.lvm.fi/en/-/acts-on-passenger-car-scrapping-premium-and-purchase-support-for-gas-fuelled-trucks-into-force-1244949,Undefined,"Regulation|Energy efficiency / Fuel economy obligations|Payments, finance and taxation|Performance-based policies|Framework legislation|Targets, plans and framework legislation",Transport|Road transport,Road vehicles|Transport technologies|Vehicle type,Undefined,Finland,2020,In force,National,FIN
Climate and Nature Protection Action Plan - Green Bus Program,https://www.iea.org/policies/13933-climate-and-nature-protection-action-plan-green-bus-program,"The Hungarian Government aims to become a leader in the field of electromobility, which is why it implemented the Green Bus Program in September 2019, under supervision of the Ministry of Technology.  The government will allocate HUF 35.9 billion from 2020 to 2029 to support the purchase of electric buses and self-propelled trolleybuses in cities with a population of more than 25,000.  The central government provides a maximum 20%-80% subsidy for local governments and public transport companies on the purchase price of these buses. The government also considers increasing the budget for this programme.",Undefined,19 July 2021,https://zoldbusz.hu/,Air Quality|Cities|Electrification,"Payments, finance and taxation|Payments and transfers|Finance",Transport|Road transport|Passenger transport (Road)|Mass road transit|Buses and minibuses - Local and urban service,Road vehicles|Buses and coaches|Transport technologies|Vehicle type,Undefined,Hungary,2020,In force,National,HUN
Climate and nature protection action plan - PEDELEC 2020,https://www.iea.org/policies/13930-climate-and-nature-protection-action-plan-pedelec-2020,"Under the Cimate and Nature Conservation Action Plan, the Ministry of Innovation and Technology is providing support for the purchase of electric bicycles in the form of grants. The support, which aims to reduce air pollution, will be implemented by IFKA Közhasznú Nonprofit Kft. The PEDELEC 2020 grants will be available with intermittent submission periods from November 23, 2020. The total budget for the initiative is HUF 1 billion.",Undefined,18 March 2022,https://www.ebike2go.hu/hirek/pedelec-2020-palyazati-kiiras,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,2 and 3 wheelers (motorised)|Battery electric|Transport technologies|Vehicle type,Undefined,Hungary,2020,In force,National,HUN
Climate and nature-protection action plan - Tender for purchase of EV and Mopeds,https://www.iea.org/policies/11626-climate-and-nature-protection-action-plan-tender-for-purchase-of-ev-and-mopeds,"Tender to support purchase of purely electric cars and mopeds. The sum of non-refundable funding may reach 2.5 million forints (EUR 7,200) per vehicle in the case of electric cars priced under 11 million forints (EUR 31,000), while in the case of cars that are priced between 11 and 15 million forints (EUR 31-43 thousand), the maximum level of funding will be 500 thousand forints (EUR 1,400). For taxi operators, the subsidy can be up to 55% of the purchase price. Electric scooters can be purchased by companies and self-employed, mainly couriers. In the case of scooters between HUF 100,000 and HUF 1 million, the subsidy can reach 55% of the purchase price.",IEA/IRENA Renewables Policies Database,13 July 2021,https://2015-2019.kormany.hu/hu/innovacios-es-technologiai-miniszterium/energiaugyekert-es-klimapolitikaert-felelos-allamtitkar/hirek/otmilliard-forintos-palyazat-indul-elektromos-autok-es-robogok-vasarlasara,Energy Efficiency|Renewable Energy,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport|Passenger transport (Road),Road vehicles|Transport technologies,Undefined,Hungary,2020,In force,National,HUN
"Electromobility - 3 separate programmes (""Green Car"", ""eVAN"" and ""Koliber"")",https://www.iea.org/policies/12235-electromobility-3-separate-programmes-green-car-evan-and-koliber,"The Ministry of Climate and the National Fund for Environmental Protection and Water Management launched three electromobility programmes, aiming to stimulate the economy and the development of EVs in Poland.  These programmes are as follow: - The ""Green Car"" programme, which is direct subsidies distributed for the purchase of electric vehicles. The subsidy does not exceed more than 15% of the elgible costs (which are also constrained to be less than PLN 125 000). PLN 37.5 million are allocated to this programme. - The ""eVAN"" programme, which is subsidies for entrepreneurs to incentivise the purchase of an electric van. The subisidy can reach up to PLN 5000. PLN 70 million will be allocated to this programme. -  The ""Koliber"" programme, supporting the purchase of electric taxis. PLN 40 million will be allocated to this programme. Overall, PLN 150 million are expected to be spent through these electromobility programmes. This plan is part of the Green Investments Plan, published in early 2020.",Undefined,28 October 2021,https://www.gov.pl/web/klimat/nfosigw-dofinansuje-zakup-pojazdow-elektrycznych,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Battery electric|Transport technologies,Undefined,Poland,2020,In force,National,POL
Faster Adoption and Manufacturing of Hybrid and Electric Vehicles (FAME) Scheme - Phase I & II,https://www.iea.org/policies/12517-faster-adoption-and-manufacturing-of-hybrid-and-electric-vehicles-fame-scheme-phase-i-ii,"The Faster Adoption and Manufacturing of Electric Vehicles (FAME) scheme was launched in April 2015 under the National Electric Mobility Mission, to encourage electric and hybrid vehicle purchase by providing financial support. Its first phase ran for four years until 2019. The second phase (FAME II) is a 3-year subsidy programme. It aims at supporting the electrification of public & shared transportation: around 7,000 electric and hybrid buses, 500,000 lakh electric three wheelers, 55,000 electric four wheeler passenger cars, and 1 million electric two wheelers. It also finances charging infrastructures Under Phase-I of the Scheme where 427 charging stations had been installed.",Undefined,4 April 2022,https://pib.gov.in/PressReleasePage.aspx?PRID=1741569,Electrification,"Payments, finance and taxation|Funds to sub-national governments|Payments and transfers",Transport|Road transport|Passenger transport (Road)|Buses and minibuses - Local and urban service,Road vehicles|2 and 3 wheelers (motorised)|Buses and coaches|Drive train or engine|Battery electric|Hybrid|Transport technologies|Electric charging infrastructure|Refuelling and charging infrastructure,Undefined,India,2020,In force,National,IND
Green car - co-financing the purchase of an electric passenger car,https://www.iea.org/policies/14358-green-car-co-financing-the-purchase-of-an-electric-passenger-car,The objective of the scheme is to support the purchase of electric vehicles for private use. PLN 37.5 million will be allocated to this programme.  Grants are limited to 15% of the eligible costs (< PLN 125 thousand). The budget of this new programme is expected to allow the co-financing of two thousand electric cars.,Undefined,23 November 2022,https://www.gov.pl/web/nfosigw/zielony-samochod---dofinansowanie-zakupu-elektrycznego-samochodu-osobowego-m1,Electrification,"Payments, finance and taxation|Payments and transfers|Grants",Transport|Road transport,Battery electric|Transport technologies,Undefined,Poland,2020,In force,National,POL
