index,country_code,Policy type,Sector,Policy,Description,Year/Date of decision,Source,cos_dup
1,POL,Financial support,Transport,"Electromobility - 3 separate programmes (""Green Car"", ""eVAN"" and ""Koliber"")","The Ministry of Climate and the National Fund for Environmental Protection and Water Management launched three electromobility programmes, aiming to stimulate the economy and the development of EVs in Poland.  These programmes are as follow: - The ""Green Car"" programme, which is direct subsidies distributed for the purchase of electric vehicles. The subsidy does not exceed more than 15% of the elgible costs (which are also constrained to be less than PLN 125 000). PLN 37.5 million are allocated to this programme. - The ""eVAN"" programme, which is subsidies for entrepreneurs to incentivise the purchase of an electric van. The subisidy can reach up to PLN 5000. PLN 70 million will be allocated to this programme. -  The ""Koliber"" programme, supporting the purchase of electric taxis. PLN 40 million will be allocated to this programme. Overall, PLN 150 million are expected to be spent through these electromobility programmes. This plan is part of the Green Investments Plan, published in early 2020.",2020,IEA,NA
2,LUX,Financial support,Transport,Neistart Lëtzebuerg - Subsidies to develop EV chargers,"In the context of the Covid-19 pandemic, the government of Luxembourg decided to unveil a recovery package of more than EUR 700-800 million in May 2020, axing part of the measures towards sustainability.  Among them, and alongside the establishment of a network of public charging stations ""Chargy"" and rapid charging stations ""Fast Chargy"", the government will put in place a support scheme for the installation of private charging stations, powered by green energy. A draft regulation introducing this support scheme was adopted by the Governing Council on 1st July 2020.",2020,IEA,NA
3,POL,Financial support,Transport,Subsidy for industrial development of e-vehicles and for their purchases,"The government intends to allocate PLN 70 million to enterprises in the area of developing the production of components, accompanying services and charging infrastructure for electric and hydrogen vehicles. Co-financing is to cover 300 companies introducing the so-called ""new product"". This program will be implemented in 2020-2025 and can be regarded as a supplement for National Plan of Electromobility Development, with a total value PLN 150 million.  Green car: assisting in purchasing electric vehicles for private use, purchase price of the vehicle must not exceed PLN 125,000, expected to finance the purchase of two thousand electric vehicles (total budget: PLN 37.5 million)  eVan programme: PLN 70 million to be directed towards business owners who have decided to purchase electric vehicles; expected to optimise purchase targets towards 1000 eVan. The subsidy cannot exceed 30% of the value and PLN 70 000.  Hummingbird: PLN 40 million allocated for the programme to support the purchase/leasing of 1000 electric taxes (M1 category)",2020,IEA,NA
4,JPN,Financial support,Transport,EVSE support Tokyo,"Tokyo's metropolitan government set a subsidy programme in 2018 to accelerate the installation of charging stations for electric vehicles (pure electric and plug-in hybrid vehicles) at condominiums in the capital. Condominium owners, associations and developpers can request financial support for the purchase and installation of EV charging facilities. The installation of solar panel systems and battery systems can be additionally funded under this subsidy programme if combined with the installation of charging stations. The aim of the programme, managed by Tokyo Environmental Public Service Corporation, is to raise the share of Evs in the total new car sales in the capital up to 50% by 2030.  Up to September 2019, the programme supported the installation of 57 charging facilities.",2018,IEA,NA
5,IRL,Financial support,Transport,EV Purchase Subsidies in Ireland,"A maximum grant of €5,000 is available for qualifying electric vehicles when purchased privately. Approved EVs with a List Price of less than €14,000 will not receive a grant. The grant level applies to Battery Electric Vehicles (BEV) and Plugin Hybrid Electric Vehicles (PHEV). It depends on the list price of the vehicle. This is the full non-discounted price in the absence of VRT relief or grant support.In addition, grants  of up to €12,500 are available to stimulate take-up of electric vehicles in the taxi /hackney/limousine sector (scheme administered by the National Transport Authority)",2017,IEA,NA
6,ITA,Financial support,Transport,EV and EVSE incentives Bolzano,"The Bolzano Province provides incentives to buy electric (4,000 EUR) and hybrid plug-in electric producing less than 50 g CO2/km(2,000 EUR) cars. Moreover, for two and three wheelers 30% of the cost is subsidiesed (up to 1000 EUR) and 30% for cargo electric bikes (up to 1500 EUR). 70% of the cost of installation of charging stations whithin private companies is subsidiesed (up to 1000 EUR) Further, the exemption from annual circulation tax for five years and then 77.5 % (instead of 75 % as for the national policy) reduction of the tax rate.  These incentives can be cumulated with the national ones under the ecobonus.",2017,IEA,NA
7,MEX,Financial support,Transport,National deployment of free public EVSE,"In order to increase the use of BEV and PHEV,the Federal Electric Commission (CFE) of Mexico started the national deployment of free public EVSE through their Electric Energy Savings Program (PAESE) and the collaboration of the automobile industry, private sector and goverment entities. Aditionally, CFE develops initiatives to spread the economical and environmental benefits of electric vehicles in society. Finally, CFE brings tecnical consulting and guarantees the energy supply of the mexican EVSE network.",2017,IEA,NA
8,DNK,Financial support,Transport,Reduction in vehicle registration tax for Evs,"Activated in 2017, as a consequence of drop of EV sales in 2016 after a previous tax break was phased out, this subsidy is provided in the form of a DKK 10000 reduction in vehicle registration tax for purchases of electric vehicles. It will be granted until the end of 2019.",2017,IEA,73
9,GBR,Financial support,Transport,Ultra low emission trucks scheme,"Vans will go electric and lorries will run on hydrogen dual-fuel under a £20 million government programme to cut emissions and improve air quality, Transport Minister John Hayes announced today (11 January 2017).The funding, announced at the Sustainable Road Transport Conference, in central London, is being given to 20 firms who set out plans for innovative ways to deploy low and zero emission vehicles.",2017,IEA,NA
10,IND,Financial support,Transport,"City of Delhi government support of EV via Subsidies, refund of the local VAT & 50% reduction of road tax",The City of Delhi offers a 15% subsidy on the base price of an electric vehicle and a refund of the local VAT (which is 12.5%). And it reduces the road tax normally paid by vehicle operators by 50%.,2016,IEA,NA
