ISO,year,Buildingblock,Module,Policy,Policytype,Value
GBR,2000,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2000,Sectoral,Electricity,Auction,MBI,0
GBR,2000,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2000,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2000,Sectoral,Electricity,ETS_E,MBI,0
GBR,2000,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2000,Sectoral,Electricity,FFS_E,MBI,.
GBR,2000,Sectoral,Electricity,FiT,MBI,0
GBR,2000,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2000,Sectoral,Electricity,RECs,MBI,0
GBR,2001,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2001,Sectoral,Electricity,Auction,MBI,0
GBR,2001,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2001,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2001,Sectoral,Electricity,ETS_E,MBI,0
GBR,2001,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2001,Sectoral,Electricity,FFS_E,MBI,.
GBR,2001,Sectoral,Electricity,FiT,MBI,0
GBR,2001,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2001,Sectoral,Electricity,RECs,MBI,0
GBR,2002,Sectoral,Electricity,AirEmissionStandards,NMBI,1.25
GBR,2002,Sectoral,Electricity,Auction,MBI,0
GBR,2002,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2002,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2002,Sectoral,Electricity,ETS_E,MBI,0
GBR,2002,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2002,Sectoral,Electricity,FFS_E,MBI,.
GBR,2002,Sectoral,Electricity,FiT,MBI,0
GBR,2002,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2002,Sectoral,Electricity,RECs,MBI,0
GBR,2003,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2003,Sectoral,Electricity,Auction,MBI,0
GBR,2003,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2003,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2003,Sectoral,Electricity,ETS_E,MBI,0
GBR,2003,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2003,Sectoral,Electricity,FFS_E,MBI,.
GBR,2003,Sectoral,Electricity,FiT,MBI,0
GBR,2003,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2003,Sectoral,Electricity,RECs,MBI,4
GBR,2004,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2004,Sectoral,Electricity,Auction,MBI,0
GBR,2004,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2004,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2004,Sectoral,Electricity,ETS_E,MBI,0
GBR,2004,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2004,Sectoral,Electricity,FFS_E,MBI,.
GBR,2004,Sectoral,Electricity,FiT,MBI,0
GBR,2004,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2004,Sectoral,Electricity,RECs,MBI,4
GBR,2005,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2005,Sectoral,Electricity,Auction,MBI,0
GBR,2005,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2005,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2005,Sectoral,Electricity,ETS_E,MBI,6.5
GBR,2005,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2005,Sectoral,Electricity,FFS_E,MBI,.
GBR,2005,Sectoral,Electricity,FiT,MBI,0
GBR,2005,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
GBR,2005,Sectoral,Electricity,RECs,MBI,5
GBR,2006,Sectoral,Electricity,AirEmissionStandards,NMBI,4
GBR,2006,Sectoral,Electricity,Auction,MBI,0
GBR,2006,Sectoral,Electricity,BanPhaseOutCoal,NMBI,0
GBR,2006,Sectoral,Electricity,CarbonTax_E,MBI,0
GBR,2006,Sectoral,Electricity,ETS_E,MBI,7.5
GBR,2006,Sectoral,Electricity,ExciseTaxes_E,MBI,.
GBR,2006,Sectoral,Electricity,FFS_E,MBI,.
GBR,2006,Sectoral,Electricity,FiT,MBI,0
GBR,2006,Sectoral,Electricity,PlanningRenewablesExpansion,NMBI,.
