Country,Policy types,Sectors,Policy,Description,Year,country_code,Source,Comment
United Kingdom,Obligation schemes,"Electricity and heat, Renewables",Non-Fossil Fuel Obligation United Kingdom (1990),NA,1990,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Electricity and heat generation",Energy Crops Scheme - England,"Grants of up to 50% of the costs of establishing producer groups for short rotation coppice. Activities that may be eligible for assistance are: legal costs, office accommodation, office equipment purchase, IT equipment, recruitment costs and the purchase of harvesting machinery. To be eligible, the crops must be grown for power generation, combined heat and power, or heat production. There must be evidence of an end use or market within a reasonable radius of the crop land. Applications are subject to environmental evaluations to ensure the environmental impacts are minimised.",2000,GBR,IEA,
United Kingdom,"Fiscal or financial incentives, Codes and standards, Monitoring, Obligation schemes, Other mandatory requirements","Electricity and heat, Renewables",Renewables Obligation Plan United Kingdom (2000),NA,2000,GBR,CPD,potentially PlanningRenewablesExpansion
United Kingdom,"Payments, finance and taxation|Payments and transfers","Industry|Power, Heat and Utilities",Exemption from Climate Change Levy for Good Quality CHP,"The Climate Change Levy (CCL) was introduced by the UK Government in 2001 and is charged on most non-domestic supplies of energy used as fuel for lighting, heating and power. The CCL is designed to promote energy efficiency and encourage investment in energy saving equipment, thereby reducing emissions of greenhouse gases. CHP stations are energy efficient in operation providing very significant fuel savings, and therefore offer cost and efficiency savings over conventional forms of electricity generation and heat supply. Favourable treatment under the CCL legislation is given to a CHP station where it is:  registered with the Department for Business, Energy & Industrial Strategy (BEIS) CHP Quality Assurance Programme  certified annually under that programme covered by a valid CCL Exemption Certificate issued by the Secretary of State",2001,GBR,IEA,
United Kingdom,"Information provision, Policy support","Industry, Electricity and heat",The Carbon Trust United Kingdom (2001),NA,2001,GBR,CPD,
United Kingdom,"Other mandatory requirements, Obligation schemes",Electricity and heat,Energy Efficiency Commitment (2002-2005) United Kingdom (2001),NA,2001,GBR,CPD,
United Kingdom,Demonstration project,Electricity and heat,Domestic Photovoltaic (PV) System Field Trial United Kingdom (2001),NA,2001,GBR,CPD,
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Economy-wide (Multi-sector)|Electricity and heat generation",Energy Technology Programme,"The New and Renewable Energy Programme supports pre-competitive research and development to help improve the understanding of the prospects for renewable energies and to improve their economic attractiveness. The current budget is about GBP18 million per year, awarded through a call and evaluation process. The programme supportED industry-led R & D projects in the areas of: biofuels, fuel cells, photovoltaics, wind energy (primarily offshore) distributed generation (including energy storage), wave and tidal energy, and small-scale hydro.",2002,GBR,IEA,probably RDD_RES
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants",Power|Heat and Utilities,Large-scale PV Demonstration Project,"A £20 million budget was allocated in 2002 to provide grants for the Major PV Demonstration Programme with the objective of preparing a secure platform for long-term and sustained growth of PV. The funding level was increased by £5 million in February 2004, £6 million in September 2004 and £0.75 million in April 2006 taking the total available to £31.75 million. The additional funding allowed the programme to run until March 2006, with final grants claims having been submitted by 30 April 2007.The scheme closed on 31 May of 2007. Around £31.75 million was allocated to the scheme. Two types of grants have been made available:Stream 1 Grants are small-scale individual applications (between 0.5kWp and 5 kWp) that target households, small and medium-sized businesses and public and community groups such as schools. Different grant amounts apply to building mounted and integrated PV systems: Building mounted systems grants were provided for the lesser of £3 000/kWp or 50% of total eligible costs. Integrated systems grants were provided for the lesser of £4 250/kWp or 50% of total eligible costs. The programme operated on a first come first served basis with funds being allocated almost automatically provided the proposed installation met certain basic criteria.Stream 2 Grants attracted applications from housing groups, private developers, local authorities, large companies etc and were operated through a quarterly competitive call where criteria such as cost, level of integration, innovation and geographical location were taken into account. The grants were for medium to large scale applications (between 5kWp and 100 kWp). Grants covered: up to 55% of eligible costs for public bodies, up to 50% of eligible costs for small to medium sized enterprises and up to 40% of eligible costs for large companies.",2002,GBR,IEA,probably RDD_RES
United Kingdom,"Payments, finance and taxation|Payments and transfers|Grants","Power, Heat and Utilities|Power generation|Electricity and heat generation",Major PV Demonstration Programme,"A GBP 26 million budget was allocated to provide grants for PV installations with the objective of preparing a secure platform for long-term and sustained growth of PV. Funding under the Major Photovoltaics Demonstration Programme (PV MDP) was avaiable for the private and public sector to install solar systems on new or existing buildings. A consortium led by the Energy Saving Trust was appointed to manage the programme.The two types of grants that were available:- Stream 1 grants for small scale PV installations between 0.5kWp and 5kWp are defined for home owners, small to medium-sized enterprises (SMEs), public sector organisations (e.g. schools, local authorities) and charitable, voluntary, community groups.- Stream 2 grants for medium to large-scale PV installations between 5kWp and 100kWp are defined for large commercial organisations (e.g. large corporations, businesses, industry, property developers), social housing groups (e.g. housing associations, local authorities) and other public sector organisations (e.g. universities, health centres), charitable, voluntary, community groups and small to medium-sized enterprises (SMEs).The programme ran from 2002 to 2007, and at the programmes end 1661 schemes were completed under Stream 1, worth GBP 11,590,522. Under Stream 2, there 168 completed schems worth GBP 14,552,060.",2002,GBR,IEA,probably RDD_RES
