"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202897000000","231233595020","270867033206.428","303901976576.284","316787420383.119","355213734475.591","449114807360.254","465580378247.668","423427460305.298","468146382963.524","501694680897.777","509954703964.34","527556729658.432","517497151454.851","416394125332.686","428885949092.667","416394125332.686","416394125332.686","351853035906.12","384276293160.932","381106048280.359",
"Albania","ALB","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49819676000","104514097500","143756117300","238929064000","297419948100","314726227700","290322615300","307567316000","331147623000","341145771400","345294614300","400917187900","406053173800","375719910000","399230090000","367642421500","361107515300","340720951300","351552538700","352637874900","368061500039.417","370270374693.535","367633481293.243","356486927604.008","426996825542.317","",
"Andorra","AND","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132642579000","140020949000","149687423400","154012124800","182079130100","209133971200","291608787200","291679945400","317749613500","288634831900","283875168100","280982880400","277092483700","341252212100","387729778900","402360886100","442029163200","391003950500","334543219200","347597944800","","",
"Argentina","ARG","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","41941086374","45999881150","41941086374","34499894918","44308689780","45999881150","44308739357","46000054538","50058937664","61558998218","62932232367","69811877828","70521994035","67207429843","67951586193","69169318343","73972011129","89429531332","75189743279","82867789943","89585889643","76169562291","60979154697","61222771963","58691584656","50413305743","55979326230","63220767064","60995566210","47819572288","39761931717","51667321500","68533326300","78377408200","88280807100","77126135400","87232163300","101706392800","106689372600","88635750100","85260580400","75085968000","46857782400","65690641300","85143879400","97742050100","104453514900","125688977400","134089331600","103152852700","136720979100","158723130700","140969841900","147551759800","138368830900","144673895900","137318686000","158537653500","142926295300","114384028700","105716394300","140751319600","153108076136.221",
"Armenia","ARM","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","431570789800","384262967200","395430049800","454973746400","445796434900","432933580000","386652316800","382731249500","524445182500","782736960700","824629357400","1033607298800","1369980942900","1767038544200","2175914573600","1334371349800","1293870980700","1190194973700","1053003100000","977186876800","970346568700","939295478500","857576771800","945907179300","1272245156200","1090314098900","1084862528400","1187924468600","1272267105870.6",
"American Samoa","ASM","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","33114036000","34119620000","37462615000","40972864000","41420937000","36341401000","40848973000","45184431000","40741913000","47399223000","46853417000","44027479000","40967253000","39679370000","41747318000","44427303000","44491879000","45980347000","50744674000","54219633000","57273297000","60022489000","59531068000","57871210000","61330831000","65271150000","65769560000","66931100000","68831440000","71184230000","72967530000","72345280000","69574850000","72808820000","74020680000","75178770000","76851920000","82584640000","82138350000","73631510000","73500310000","79972490000","79410810000","78827380000","79381870000","81955100000","85615580000","89448500000","94869710000","94187770000","89690370000","99908870000","97873520000",
"Azerbaijan","AZE","Gross capital formation (constant LCU)","NE.GDI.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128347500","186874000","289841600","612725100","851687900","1047576000","1306180300","1152839200","1301617400","2442582100","4214121700","5269809900","5201200000","5341140100","4844060400","4921543800","4480525800","4673838700","5200569700","5314982200","6348603700","6442482700","","","","","","","","",
