country,countryISO,techSector,topic,indicator,category,unit,year,observations,value
Netherlands,NLD,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,2
United States,USA,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,43.529998779296875
France,FRA,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,26
Japan,JPN,Grid,Patents,Detail,Clean Energy,Number,2000,0,12.5
Australia,AUS,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,3
Czech Republic,CZE,Air - rail - marine,Patents,Detail,Clean Energy,Number,2000,0,1
Korea,KOR,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,5
United States,USA,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2000,0,4
United States,USA,Gaseous fuel distribution,Patents,Detail,Transmission distribution,Number,2000,0,2.5
Belgium,BEL,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,1.5
Hong Kong,HKG,Processing and downstream,Patents,Total,Total,Number,2000,0,0.25
Germany,DEU,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,25.950000762939453
,WORLD,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,52
Canada,CAN,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,1
France,FRA,Processing and downstream,Patents,Total,Total,Number,2000,0,55.27000045776367
Russian Federation,RUS,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,1
United States,USA,Underground gaseous fuel storage,Patents,Detail,Transmission distribution,Number,2000,0,0.5
Hong Kong,HKG,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,3
Switzerland,CHE,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,11
Ireland,IRL,Grid,Patents,Detail,Clean Energy,Number,2000,0,0.10999999940395355
Japan,JPN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,186.1699981689453
Germany,DEU,Processing and downstream,Patents,Total,Total,Number,2000,0,92.72000122070312
Great Britain,GBN,Nuclear,Patents,Detail,Clean Energy,Number,2000,0,4.829999923706055
Netherlands,NLD,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,2
Switzerland,CHE,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,2.609999895095825
France,FRA,Solar,Patents,Detail,Clean Energy,Number,2000,0,9.5
Korea,KOR,Coal-to-gas,Patents,Detail,Processing downstream,Number,2000,0,3
Korea,KOR,Wind,Patents,Detail,Clean Energy,Number,2000,0,7
Finland,FIN,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,5
India,IND,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,4
Belgium,BEL,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,2
Finland,FIN,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,0.6700000166893005
Switzerland,CHE,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,2
India,IND,Transmission and distribution,Patents,Total,Total,Number,2000,0,0.4000000059604645
Austria,AUT,Transmission and distribution,Patents,Total,Total,Number,2000,0,3
Czech Republic,CZE,Solar,Patents,Detail,Clean Energy,Number,2000,0,1
Switzerland,CHE,Upstream,Patents,Total,Total,Number,2000,0,1.4199999570846558
Chinese Taipei,TWN,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,2
,WORLD,Clean energy patents,Patents,Total,Total,Number,2000,0,5570.4501953125
France,FRA,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,12.5
Italy,ITA,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,6.699999809265137
Austria,AUT,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,5
Denmark,DNK,Total - all technologies,Patents,,,Number,2000,0,609.3800048828125
Great Britain,GBN,Liquid fuel distribution (gas stations),Patents,Detail,Transmission distribution,Number,2000,0,1
Spain,ESP,Hydrogen fuel production,Patents,Detail,Processing downstream,Number,2000,0,6
Ireland,IRL,Clean energy patents,Patents,Total,Total,Number,2000,0,6.360000133514404
Netherlands,NLD,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,3
France,FRA,Upstream,Patents,Total,Total,Number,2000,0,28.520000457763672
France,FRA,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,27.5
France,FRA,Gas conditioning,Patents,Detail,Processing downstream,Number,2000,0,5.5
Korea,KOR,Processing and downstream,Patents,Total,Total,Number,2000,0,11
France,FRA,Transmission and distribution,Patents,Total,Total,Number,2000,0,8.329999923706055
Israel,ISR,Bioenergy,Patents,Detail,Clean Energy,Number,2000,0,1.6200000047683716
Spain,ESP,Total - all technologies,Patents,,,Number,2000,0,1273.510009765625
Hungary,HUN,Total - all technologies,Patents,,,Number,2000,0,198.80999755859375
,WORLD,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,95
,WORLD,Compressed gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,1
Great Britain,GBN,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,36.279998779296875
Italy,ITA,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
Poland,POL,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,2
Australia,AUS,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,21
Germany,DEU,Coal-to-gas,Patents,Detail,Processing downstream,Number,2000,0,18.399999618530273
Germany,DEU,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,27.5
Austria,AUT,Industry energy efficiency or substitution,Patents,Detail,Clean Energy,Number,2000,0,0.5
France,FRA,Vehicle fuel efficiency,Patents,Detail,Clean Energy,Number,2000,0,6
Finland,FIN,Fossil fuel patents,Patents,Total,Total,Number,2000,0,6.170000076293945
France,FRA,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,40.970001220703125
Switzerland,CHE,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,7.329999923706055
France,FRA,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,6
Australia,AUS,Processing and downstream,Patents,Total,Total,Number,2000,0,14.5
United States,USA,Other renewables,Patents,Detail,Clean Energy,Number,2000,0,13
United States,USA,Renewables,Patents,Detail,Clean Energy,Number,2000,0,16.860000610351562
Poland,POL,Solar,Patents,Detail,Clean Energy,Number,2000,0,1
People's Republic of China,CHN,e-Mobility,Patents,Detail,Clean Energy,Number,2000,0,6
Korea,KOR,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,2
India,IND,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,0.4000000059604645
Australia,AUS,Fossil fuel patents,Patents,Total,Total,Number,2000,0,21
France,FRA,Liquified gaseous fuel shipping,Patents,Detail,Transmission distribution,Number,2000,0,2
Great Britain,GBN,Solar,Patents,Detail,Clean Energy,Number,2000,0,11.449999809265137
Sweden,SWE,Storage (not e-mobility),Patents,Detail,Clean Energy,Number,2000,0,7.5
United Kingdom,GBR,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,25.479999542236328
United States,USA,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,24.3799991607666
Hungary,HUN,Clean energy patents,Patents,Total,Total,Number,2000,0,4.920000076293945
,WORLD,Unconventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,62.40999984741211
United States,USA,Solar,Patents,Detail,Clean Energy,Number,2000,0,92.75
Sweden,SWE,Energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,1
United Kingdom,GBR,Oil refining,Patents,Detail,Processing downstream,Number,2000,0,18.65999984741211
Great Britain,GBN,Stationary tank storage for gases,Patents,Detail,Transmission distribution,Number,2000,0,3
Hong Kong,HKG,Building energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,2.5
United States,USA,Liquid fuel distribution (gas stations),Patents,Detail,Transmission distribution,Number,2000,0,1
Russian Federation,RUS,Wind,Patents,Detail,Clean Energy,Number,2000,0,1
United Kingdom,GBR,Wind,Patents,Detail,Clean Energy,Number,2000,0,6
Great Britain,GBN,Hydrogen and fuel cells,Patents,Detail,Clean Energy,Number,2000,0,25.479999542236328
Korea,KOR,Solar,Patents,Detail,Clean Energy,Number,2000,0,10
Sweden,SWE,Processing and downstream,Patents,Total,Total,Number,2000,0,1
,WORLD,Underground gaseous fuel storage,Patents,Detail,Transmission distribution,Number,2000,0,0.5
United Kingdom,GBR,Coal-to-liquids and gas-to-liquids,Patents,Detail,Processing downstream,Number,2000,0,1
Netherlands,NLD,Agriculture energy efficiency,Patents,Detail,Clean Energy,Number,2000,0,4.829999923706055
Switzerland,CHE,Renewable energy integration in buildings,Patents,Detail,Clean Energy,Number,2000,0,2
United Kingdom,GBR,Conventional oil and gas exploration and extraction,Patents,Detail,Upstream,Number,2000,0,36.279998779296875
Finland,FIN,Clean energy patents,Patents,Total,Total,Number,2000,0,30.329999923706055
