STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Unit of measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,2109.78809523807,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,1972.14999999998,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,1880.69999999997,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2003,,2055.58690476186,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2004,,2348.16666666661,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2005,,2610.07023809518,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2006,,2856.41666666661,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2007,,3008.00833333328,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2008,,2651.28849206343,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2009,,2362.32738095232,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2010,,2484.22023809517,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2011,,2501.05396825391,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2012,,2973.53253968248,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2013,,2848.2660714285,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2014,,2914.28095238087,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2015,,3104.90793650787,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2016,,3292.43064892616,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2017,,3356.92885154054,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2018,,3290.71190476185,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2019,,3346.20238095233,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2020,,3786.93571428565,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,ISR,Israel,A,Annual,TOT,All technologies (total patents),PATN,Patents,TWO,Two and greater,_Z,Not applicable,2021,,3625.46666666659,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2000,,45.583333333325,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2001,,45.116666666661,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,IND,India,A,Annual,ENV_PAT,Environment-related technologies,PATN,Patents,TWO,Two and greater,_Z,Not applicable,2002,,75.2166666666541,,A,Normal value,0,Units,2,Two
