"","ISO","Module","Policy","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source"
"1","BRA","Cross_sectoral","Methane Policies",1997,2,"NMBI","Other NMBI",2,0,0,1,0,"OECD"
"2","CAN","Industry","MEPS electric motors",1997,7,"NMBI","Performance Standards",7,0,0,1,0,"OECD"
"3","CHN","Buildings","BuildingEnergyCodes",1997,5,"NMBI","Performance Standards",5,0,0,1,0,"OECD"
"4","FIN","Cross_sectoral","RDD_Renewables",1997,9,"MBI","Other MBI",2,0,0,1,0,"OECD"
"5","RUS","Electricity","AirEmissionStandards",1997,3,"NMBI","Performance Standards",3,0,0,1,0,"OECD"
"6","SWE","Cross_sectoral","RDD_Otherstorage",1997,8,"MBI","Other MBI",6,0,0,1,0,"OECD"
"7","USA","Industry","MEPS electric motors",1997,7,"NMBI","Performance Standards",7,0,0,1,0,"OECD"
"8","BEL","Cross_sectoral","RDD_Otherstorage",1998,5,"MBI","Other MBI",2,-1,0,1,0,"OECD"
"9","BRA","Buildings","Labels Appliances",1998,5,"NMBI","Information",5,5,1,1,1,"OECD"
"10","CAN","International","Ratification of Climate Treaties",1998,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"11","DNK","Cross_sectoral","RDD_EnergyEfficiency",1998,6,"MBI","Other MBI",1,2,0,0,1,"OECD"
"12","DNK","Cross_sectoral","RDD_Nuclear",1998,5,"MBI","Other MBI",3,3,0,1,1,"OECD"
"13","GBR","Buildings","Labels Appliances",1998,8,"NMBI","Information",3,3,0,1,1,"OECD"
"14","GBR","Cross_sectoral","Methane Policies",1998,4,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"15","JPN","Buildings","MEPS of appliances",1998,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD"
"16","JPN","Cross_sectoral","RDD_Otherstorage",1998,7,"MBI","Other MBI",2,2,0,1,1,"OECD"
"17","JPN","Transport","Labels Passenger Cars",1998,10,"NMBI","Information",10,10,1,1,1,"OECD"
"18","KOR","International","Ratification of Climate Treaties",1998,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"19","NLD","Cross_sectoral","RDD_Renewables",1998,9,"MBI","Other MBI",1,2,0,0,1,"OECD"
"20","NOR","International","Ratification of Climate Treaties",1998,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"21","AUS","Buildings","MEPS of appliances",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"22","AUS","International","Ratification of Climate Treaties",1999,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"23","AUT","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"24","BEL","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"25","DEU","International","Ratification of Climate Treaties",1999,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"26","DEU","Transport","Investment in Rail Infrastructure",1999,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"27","DEU","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"28","DNK","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"29","ESP","International","Ratification of Climate Treaties",1999,5,"Other","International Co-operation",2,2,0,1,1,"OECD"
"30","ESP","Transport","Investment in Rail Infrastructure",1999,5,"NMBI","Other NMBI",2,2,0,1,1,"OECD"
"31","ESP","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"32","FIN","Buildings","BuildingEnergyCodes",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"33","FIN","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"34","FRA","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"35","GBR","Buildings","MEPS of appliances",1999,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD"
"36","GBR","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"37","ITA","Transport","Investment in Rail Infrastructure",1999,7,"NMBI","Other NMBI",2,1,0,1,0,"OECD"
"38","ITA","Transport","Labels Passenger Cars",1999,10,"NMBI","Information",10,10,1,1,1,"OECD"
"39","JPN","Buildings","MEPS of appliances",1999,8,"NMBI","Performance Standards",5,8,0,1,0,"OECD"
