"","Policy","ISO","year","Policytype","Policytype_detail","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","source","label","policy_sign","Module","Value","diff","diff_2","introduction","phase_out","diff_adj","diff_2_adj","diff_2_adj_neg","diff_adj_neg"
"1","AirEmissionStandards","AUS",2002,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",2,2,2,1,0,1,1,0,0
"2","AirEmissionStandards","AUS",2005,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"3","AirEmissionStandards","AUS",2006,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",7,2,5,0,0,1,0,0,0
"4","AirEmissionStandards","AUT",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,4,4,0,0,1,1,0,0
"5","AirEmissionStandards","BEL",2004,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",7,5,5,0,0,1,1,0,0
"6","AirEmissionStandards","CAN",2003,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",7,7,7,1,0,1,1,0,0
"7","AirEmissionStandards","CAN",2007,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",10,3,3,0,0,1,1,0,0
"8","AirEmissionStandards","CHE",2007,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",6,2,2,0,0,1,1,0,0
"9","AirEmissionStandards","CHE",2018,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",9,3,3,0,0,1,1,0,0
"10","AirEmissionStandards","CHN",2012,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,6,6,0,0,1,1,0,0
"11","AirEmissionStandards","DEU",2002,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",6,3,3,0,0,1,1,0,0
"12","AirEmissionStandards","DEU",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,2,2,0,0,1,1,0,0
"13","AirEmissionStandards","DNK",2003,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"14","AirEmissionStandards","DNK",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"15","AirEmissionStandards","ESP",2004,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"16","AirEmissionStandards","ESP",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"17","AirEmissionStandards","FIN",2002,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",6,2,2,0,0,1,1,0,0
"18","AirEmissionStandards","FIN",2015,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,1,2,0,0,0,1,0,0
"19","AirEmissionStandards","FRA",2004,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"20","AirEmissionStandards","FRA",2011,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"21","AirEmissionStandards","GBR",2003,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"22","AirEmissionStandards","GBR",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"23","AirEmissionStandards","IND",2016,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,4,4,0,0,1,1,0,0
"24","AirEmissionStandards","ITA",2006,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,3,3,0,0,1,1,0,0
"25","AirEmissionStandards","ITA",2013,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",8,3,3,0,0,1,1,0,0
"26","AirEmissionStandards","JPN",1999,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",5,2,3,0,0,1,1,0,0
"27","AirEmissionStandards","KOR",2005,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",7,4,4,0,0,1,1,0,0
"28","AirEmissionStandards","NLD",2005,"NMBI","Performance Standards","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","OECD","jump","positive","Electricity",6,3,3,0,0,1,1,0,0
