"","ISO","year","tech","count","gdp","pop"
"1","AFG",1995,"Climate change mitigation",0,NA,16418912
"2","AFG",1995,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,16418912
"3","AFG",1995,"Solar energy",0,NA,16418912
"4","AFG",1995,"Wind energy",0,NA,16418912
"5","AFG",1995,"Batteries",0,NA,16418912
"6","AFG",1996,"Climate change mitigation",0,NA,17106595
"7","AFG",1996,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,17106595
"8","AFG",1996,"Solar energy",0,NA,17106595
"9","AFG",1996,"Wind energy",0,NA,17106595
"10","AFG",1996,"Batteries",0,NA,17106595
"11","AFG",1997,"Climate change mitigation",0,NA,17788819
"12","AFG",1997,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,17788819
"13","AFG",1997,"Solar energy",0,NA,17788819
"14","AFG",1997,"Wind energy",0,NA,17788819
"15","AFG",1997,"Batteries",0,NA,17788819
"16","AFG",1998,"Climate change mitigation",0,NA,18493132
"17","AFG",1998,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,18493132
"18","AFG",1998,"Solar energy",0,NA,18493132
"19","AFG",1998,"Wind energy",0,NA,18493132
"20","AFG",1998,"Batteries",0,NA,18493132
"21","AFG",1999,"Climate change mitigation",0,NA,19262847
"22","AFG",1999,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,19262847
"23","AFG",1999,"Solar energy",0,NA,19262847
"24","AFG",1999,"Wind energy",0,NA,19262847
"25","AFG",1999,"Batteries",0,NA,19262847
"26","AFG",2000,"Climate change mitigation",0,NA,19542982
"27","AFG",2000,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,19542982
"28","AFG",2000,"Solar energy",0,NA,19542982
"29","AFG",2000,"Wind energy",0,NA,19542982
"30","AFG",2000,"Batteries",0,NA,19542982
"31","AFG",2001,"Climate change mitigation",0,NA,19688632
"32","AFG",2001,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,NA,19688632
"33","AFG",2001,"Solar energy",0,NA,19688632
"34","AFG",2001,"Wind energy",0,NA,19688632
"35","AFG",2001,"Batteries",0,NA,19688632
"36","AFG",2002,"Climate change mitigation",0,451798704100,21000256
"37","AFG",2002,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,451798704100,21000256
"38","AFG",2002,"Solar energy",0,451798704100,21000256
"39","AFG",2002,"Wind energy",0,451798704100,21000256
"40","AFG",2002,"Batteries",0,451798704100,21000256
"41","AFG",2003,"Climate change mitigation",0,491702820800,22645130
"42","AFG",2003,"Climate change mitigation technologies related to energy generation, transmission or distribution",0,491702820800,22645130
"43","AFG",2003,"Solar energy",0,491702820800,22645130
