"","X","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","coeff","min_year","max_year","unique_break_identifier"
"1",369,"Electricity","AirEmissionStandards","CHN",2012,8,"NMBI","Performance Standards",6,6,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"2",393,"Industry","MEPS electric motors","CHN",2012,7,"NMBI","Performance Standards",4,4,0,1,1,"OECD","Performance standard (electric motors)","Performance standard","Performance standard","Non-market","Regulation","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"3",430,"Electricity","ETS Electricity","CHN",2014,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"4",446,"Industry","ETS Industry","CHN",2014,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"5",480,"Industry","Financing Mechanism Industry","CHN",2015,10,"MBI","Subsidy",5,5,0,1,1,"OECD","Financing mechanism","Financing mechanism","Financing mechanism","Market","Subsidy","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"6",511,"Electricity","Auction","CHN",2016,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"7",519,"Electricity","PlanningRenewablesExpansion","CHN",2016,2,"NMBI","Other regulatory instruments",2,2,1,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"8",528,"Industry","Fossil Fuel Subsidies Industry","CHN",2016,8,"MBI","Carbon Pricing",3,4,0,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"9",585,"Electricity","Auction","CHN",2018,5,"MBI","Subsidy",5,2,0,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
"10",603,"Electricity","Renewable energy certificates","CHN",2018,7,"MBI","Subsidy",7,7,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",0.239216312145762,2012,2018,"CHN_2012_2018"
