"","X","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","coeff","min_year","max_year","unique_break_identifier"
"1",217,"International","Ratification of Climate Treaties","CHN",2010,7,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"2",231,"Electricity","Feed-In-Tariffs","CHN",2011,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"3",241,"Electricity","AirEmissionStandards","CHN",2012,8,"NMBI","Performance Standards",6,6,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"4",278,"Electricity","ETS Electricity","CHN",2014,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"5",308,"Electricity","Auction","CHN",2016,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"6",316,"Electricity","PlanningRenewablesExpansion","CHN",2016,2,"NMBI","Other regulatory instruments",2,2,1,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"7",360,"Electricity","Auction","CHN",2018,5,"MBI","Subsidy",5,2,0,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"8",381,"Electricity","Renewable energy certificates","CHN",2018,7,"MBI","Subsidy",7,7,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",0.305063518868198,2010,2020,"CHN_2010_2020"
"9",51,"International","Ratification of Climate Treaties","DNK",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"10",68,"Electricity","AirEmissionStandards","DNK",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"11",79,"International","Ratification of Climate Treaties","DNK",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"12",87,"Cross_sectoral","RDD_Renewables","DNK",2004,9,"MBI","Other MBI",3,3,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"13",114,"Electricity","ETS Electricity","DNK",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"14",121,"Cross_sectoral","RDD_Otherstorage","DNK",2006,5,"MBI","Other MBI",3,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"15",129,"Electricity","ETS Electricity","DNK",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"16",169,"Electricity","ETS Electricity","DNK",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"17",184,"Cross_sectoral","RDD_Otherstorage","DNK",2009,10,"MBI","Other MBI",4,4,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"18",199,"Electricity","Feed-In-Tariffs","DNK",2009,3,"MBI","Subsidy",3,3,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.342988272899485,2001,2009,"DNK_2001_2009"
"19",52,"International","Ratification of Climate Treaties","ESP",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.674735604614428,2002,2004,"ESP_2002_2004"
"20",92,"Electricity","AirEmissionStandards","ESP",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.674735604614428,2002,2004,"ESP_2002_2004"
