"","X","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","coeff","min_year","max_year","unique_break_identifier"
"1",231,"Electricity","Feed-In-Tariffs","CHN",2011,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"2",241,"Electricity","AirEmissionStandards","CHN",2012,8,"NMBI","Performance Standards",6,6,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"3",278,"Electricity","ETS Electricity","CHN",2014,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"4",308,"Electricity","Auction","CHN",2016,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"5",316,"Electricity","PlanningRenewablesExpansion","CHN",2016,2,"NMBI","Other regulatory instruments",2,2,1,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"6",360,"Electricity","Auction","CHN",2018,5,"MBI","Subsidy",5,2,0,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"7",381,"Electricity","Renewable energy certificates","CHN",2018,7,"MBI","Subsidy",7,7,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",0.632591400898244,2011,2019,"CHN_2011_2019"
"8",52,"International","Ratification of Climate Treaties","ESP",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",1.47903809738019,2002,2004,"ESP_2002_2004"
"9",92,"Electricity","AirEmissionStandards","ESP",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1.47903809738019,2002,2004,"ESP_2002_2004"
"10",232,"Electricity","Feed-In-Tariffs","FIN",2011,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.717123632517305,2009,2015,"FIN_2009_2015"
"11",284,"Electricity","PlanningRenewablesExpansion","FIN",2014,4,"NMBI","Other regulatory instruments",2,2,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0.717123632517305,2009,2015,"FIN_2009_2015"
"12",290,"Electricity","AirEmissionStandards","FIN",2015,8,"NMBI","Performance Standards",1,2,0,0,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.717123632517305,2009,2015,"FIN_2009_2015"
"13",64,"Cross_sectoral","RDD_Otherstorage","KOR",2003,8,"MBI","Other MBI",2,0,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"14",72,"Electricity","Feed-In-Tariffs","KOR",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"15",89,"Cross_sectoral","RDD_Renewables","KOR",2004,6,"MBI","Other MBI",4,4,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"16",103,"Electricity","AirEmissionStandards","KOR",2005,7,"NMBI","Performance Standards",4,4,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"17",120,"Cross_sectoral","RDD_Otherstorage","KOR",2006,7,"MBI","Other MBI",3,-1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"18",162,"Cross_sectoral","RDD_Otherstorage","KOR",2008,8,"MBI","Other MBI",2,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"19",193,"Cross_sectoral","RDD_Renewables","KOR",2009,9,"MBI","Other MBI",1,2,0,0,1,"OECD",NA,NA,NA,NA,NA,"jump",0.663000456065141,2003,2011,"KOR_2003_2011"
"20",207,"Cross_sectoral","RDD_Renewables","KOR",2010,10,"MBI","Other MBI",1,2,0,0,1,"OECD",NA,NA,NA,NA,NA,"slow_increase",0.663000456065141,2003,2011,"KOR_2003_2011"
