"","X","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","coeff","min_year","max_year","unique_break_identifier"
"1",84,"Cross_sectoral","RDD_Otherstorage","AUT",2004,7,"MBI","Other MBI",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"2",110,"Electricity","ETS Electricity","AUT",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"3",131,"Electricity","ETS Electricity","AUT",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"4",163,"Cross_sectoral","RDD_Otherstorage","AUT",2008,5,"MBI","Other MBI",2,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"5",164,"Cross_sectoral","RDD_Renewables","AUT",2008,8,"MBI","Other MBI",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"6",173,"Electricity","ETS Electricity","AUT",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"7",205,"Cross_sectoral","RDD_Otherstorage","AUT",2010,9,"MBI","Other MBI",3,4,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.668525136415685,2004,2010,"AUT_2004_2010"
"8",265,"Electricity","AirEmissionStandards","DNK",2013,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1.26673901793217,2013,2015,"DNK_2013_2015"
"9",298,"Electricity","PlanningRenewablesExpansion","DNK",2015,7,"NMBI","Other regulatory instruments",6,6,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",1.26673901793217,2013,2015,"DNK_2013_2015"
"10",92,"Electricity","AirEmissionStandards","ESP",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.935128140257925,2004,2006,"ESP_2004_2006"
"11",106,"Electricity","ETS Electricity","ESP",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.935128140257925,2004,2006,"ESP_2004_2006"
"12",128,"Electricity","ETS Electricity","ESP",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.935128140257925,2004,2006,"ESP_2004_2006"
"13",105,"Electricity","ETS Electricity","FIN",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1.19165998100694,2004,2006,"FIN_2004_2006"
"14",123,"Cross_sectoral","RDD_Renewables","FIN",2006,10,"MBI","Other MBI",2,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",1.19165998100694,2004,2006,"FIN_2004_2006"
"15",137,"Electricity","ETS Electricity","FIN",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",1.19165998100694,2004,2006,"FIN_2004_2006"
"16",41,"Electricity","AirEmissionStandards","NOR",2002,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.852121808595107,2001,2005,"NOR_2001_2005"
"17",61,"International","Ratification of Climate Treaties","NOR",2002,7,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.852121808595107,2001,2005,"NOR_2001_2005"
"18",115,"Electricity","ETS Electricity","NOR",2005,3,"MBI","Carbon Pricing",3,3,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.852121808595107,2001,2005,"NOR_2001_2005"
"19",300,"Electricity","Renewable energy certificates","NOR",2015,7,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","slow_increase",0.775030520226974,2015,2019,"NOR_2015_2019"
"20",317,"Electricity","PlanningRenewablesExpansion","NOR",2016,9,"NMBI","Other regulatory instruments",3,4,0,1,1,"OECD","Renewable expansion planning","Renewable expansion planning","Renewable planning","Non-market","Regulation","jump",0.775030520226974,2015,2019,"NOR_2015_2019"
"21",320,"Electricity","Renewable energy certificates","NOR",2016,8,"MBI","Subsidy",1,2,0,0,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","slow_increase",0.775030520226974,2015,2019,"NOR_2015_2019"
"22",351,"International","Ratification of Climate Treaties","NOR",2017,10,"Other","International Co-operation",2,3,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.775030520226974,2015,2019,"NOR_2015_2019"
"23",354,"Cross_sectoral","RDD_Otherstorage","NOR",2018,10,"MBI","Other MBI",2,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.775030520226974,2015,2019,"NOR_2015_2019"
"24",374,"Electricity","ETS Electricity","NOR",2018,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.775030520226974,2015,2019,"NOR_2015_2019"
