"","X","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name_fig_1","Policy_name_fig_2_3","Policy_name_fig_4","Market_non_market","Cluster_categories","label","coeff","min_year","max_year","unique_break_identifier"
"1",31,"Electricity","Renewable energy certificates","AUS",2001,1,"MBI","Subsidy",1,1,1,0,0,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1.95359190132881,2001,2003,"AUS_2001_2003"
"2",39,"Electricity","AirEmissionStandards","AUS",2002,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",1.95359190132881,2001,2003,"AUS_2001_2003"
"3",51,"International","Ratification of Climate Treaties","DNK",2002,5,"Other","International Co-operation",2,2,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"4",68,"Electricity","AirEmissionStandards","DNK",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Air pollution standard","Non-market","Regulation","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"5",79,"International","Ratification of Climate Treaties","DNK",2003,7,"Other","International Co-operation",2,4,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"6",87,"Cross_sectoral","RDD_Renewables","DNK",2004,9,"MBI","Other MBI",3,3,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"7",114,"Electricity","ETS Electricity","DNK",2005,6,"MBI","Carbon Pricing",6,6,1,1,1,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"8",121,"Cross_sectoral","RDD_Otherstorage","DNK",2006,5,"MBI","Other MBI",3,1,0,1,0,"OECD",NA,NA,NA,NA,NA,"jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"9",129,"Electricity","ETS Electricity","DNK",2006,8,"MBI","Carbon Pricing",2,8,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"10",169,"Electricity","ETS Electricity","DNK",2008,8,"MBI","Carbon Pricing",4,0,0,1,0,"OECD","Emission trading scheme","Emission trading scheme","Taxation","Market","Pricing","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"11",184,"Cross_sectoral","RDD_Otherstorage","DNK",2009,10,"MBI","Other MBI",4,4,0,1,1,"OECD",NA,NA,NA,NA,NA,"jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"12",199,"Electricity","Feed-In-Tariffs","DNK",2009,3,"MBI","Subsidy",3,3,0,1,1,"OECD","Renewable feed in tariff","Renewable feed in tariff","Renewable subsidy","Market","Subsidy","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"13",250,"Electricity","Fossil Fuel Subsidies Electricity","DNK",2012,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Fossil fuel subsidy reform","Market","Pricing","jump",0.758055841581838,2000,2012,"DNK_2000_2012"
"14",202,"Electricity","Renewable energy certificates","IND",2009,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Renewable portfolio standard","Non-market","Regulation","jump",1.24127877396215,2006,2010,"IND_2006_2010"
"15",210,"Electricity","Auction","IND",2010,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable auction","Renewable auction","Renewable subsidy","Market","Subsidy","jump",1.24127877396215,2006,2010,"IND_2006_2010"
