Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Objective and/or Activity Affected,Relevance for Electricity Generation,GHG Affected,Printed Page Number,Format,Additional Comments,Link
Australia,AUS,NC2,1991,Enterprise Energy Audit Program,"The Commonwealth Government’s ‘Enterprise Energy Audit Program’ subsidised energy audits
between 1991 and 1997. These audits helped companies identify opportunities for energy savings.
Under its ‘Environmental Management Program: a Business Approach’, the Commonwealth
Government provides assistance to companies to take up the challenge of cleaner production and
waste management and of reducing greenhouse gas emissions. This program includes an Energy
Management Module that helps companies quantify the savings they can make by identifying and
exploiting opportunities to increase energy efficiency",Reduce GHG emissions in industry,no,CO2,44,text,,
Australia,AUS,NC2,1994,Natural Gas Industry Reform,"Natural gas is Australia’s fastest growing energy source and, as a clean and efficient source of energy,
has an important role to play in helping to reduce Australia’s greenhouse gas emissions. The
Commonwealth, State and Territory Governments agreed in February 1994 to implement reform of
the gas sector to allow free and fair trade in natural gas. The primary focus of reform has been to establish a regulatory framework to facilitate nationally consistent third-party access to transmission and distribution pipelines through the National Third Party Access Code. This recently finalised Code will enable market participants to deal with pipeliners on fair and reasonable terms, while providing pipeline investors with the opportunity to earn a fair and
reasonable return on capital, commensurate with the risks involved. A legislative package to give effect
to the Code has been finalised. Through CoAG, all Governments have agreed to implement the Code
progressively during the first half of 1998.
Implementation of the Code will promote competition in the delivery of gas, leading to lower prices
and greater choice for consumers and reduced input costs for key exporting industries. In
conjunction with electricity reform, the Code is driving integration in the provision of gas and
electricity, encouraging optimal energy choice and the increased use of cogeneration .",Reduce GHG emissions in industry,yes,CO2,44-45,text,,
Australia,AUS,NC2,1995,NSW Electricity Supply Act,"Electricity retail licensees are required to develop greenhouse gas emission reduction strategy plans, and electricity distributor licensees are required to investigate demand management options prior to expanding, or increasing the capacity of, their distribution systems. The NSW Government has also capped the revenues of the operator of the power transmission system and electricity distributors for the period to 1998/99, encouraging demand management and energy efficiency initiatives. Exemptions include ‘Green Power’ schemes — paying a higher price for electricity produced from renewable sources — which now operate in several regions.",GHG emission reduction,yes,CO2,44,text,,
Australia,AUS,NC2,1997,Electricity Industry Reform,"Electricity industry reform in Australia was initiated by CoAG as part of broader economic reforms.
Major restructuring of the industry has been taking place following agreement to establish a fully competitive integrated national electricity market across the generation, retail and distribution sectors
by 2001.
The first stage of a competitive electricity market in southern and eastern Australia was introduced in
Victoria, NSW and the ACT in 1997. South Australian generators will join the national market when
the market systems are fully operational in 1998, while Queensland and Tasmania will join following
grid interconnection.
The new market arrangements separate the industry’s sectors to allow for competition in generation,
in purchasing from the central dispatch ‘pool’ and in the provision of services at the retail level. A
system of light-handed national competition regulation of the remaining monopoly (network)
elements will encourage increased efficiencies through time, and appropriate investment in networks
and in upstream and downstream markets.
The reforms also encourage the removal of existing capital subsidies and cross-subsidies, so as to
promote cost-reflective pricing. This is a key measure for the promotion of efficient competition in
supply by embedded cogeneration and renewable energy sources. It will also promote more sensible
patterns of energy use through greater incentives for investment in energy efficiency. In recognition
of the importance of pricing to efficient, environmentally sound outcomes, a review of the proposed
network pricing arrangements will be undertaken in 1998.",,yes,CO2,43,text,,
Australia,AUS,NC2,2000,National Energy Efficiency Program (NEEP),"The program covers a range of advisory and information services to all sectors of the economy and the community generally. These
services cover such matters as basic information on energy use and access to data on high efficiency
technologies through networks such as the International Energy Agency’s Centre for the Analysis and
Dissemination of Demonstrated Energy Technologies (CADDET). NEEP also provides a framework
through which the Commonwealth, State and Territory Governments coordinate the development
and implementation of initiatives such as product energy labelling, minimum energy performance
standards and building energy performance benchmarks.",,no,CO2,43,text,,
Australia,AUS,NC3,2000,Renewable Energy (Electricity) Act 2000,"The Renewable Energy (Electricity) Act 2000, that supports the implementation of the Mandatory Renewable
Energy Target, was passed by the Commonwealth Parliament in December 2000 and the obligation (liability)
and entitlement (eligibility) provisions came into force on 1 April 2001. A separate statutory body, the Office
of the Renewable Energy Regulator, administers the Act.
Under the Act, wholesale electricity purchasers are required to purchase increasing amounts of electricity
generated from renewable sources. In order to discharge their liability, liable parties must surrender renewable
energy certificates to the Renewable Energy Regulator. One renewable energy certificate can be created for
each megawatt hour of electricity generated from an eligible renewable energy source in an accredited power
station. These certificates can be traded through a market separate to the market for physical energy. The
renewable energy certificate represents an additional value for renewable energy which when sold, can
increase the competitiveness of renewable-based electricity as compared to cheaper fossil fuel-based electricity.
Liable parties not purchasing sufficient renewable energy face financial penalties. ",Reduce GHG by encouraging use of green electricity,yes,CO2 / CH4 / N2O,52,text,,
Australia,AUS,NC4,2002,Victorian Government’s Renewable Energy Support Fund,"Designed to leverage maximum private sector funding for the development of small-scale renewable energy generation projects in that state. Since 2002, the fund has provided $6.7 million in grants towards the capital costs of these projects and has leveraged a further $63 million in private sector investment.",,yes,"CO2 / CH4 / N2
O",48,text,,
Australia,AUS,NC4,2000,Photovoltaic Rebate Programme,"The Australian Government introduced the Photovoltaic Rebate Programme (PVRP) to encourage the long-term use of photovoltaic technology to generate electricity from sunlight and to increase the use of renewable energy in Australia.
Applicants may only apply for one PVRP rebate for a given property. The minimum size PV system to be installed is 450-watt peak output and there is no maximum size. Please note rebate amounts are capped. ",Encourage use of photovoltaic technology to lower emissions by switching to renewables.,yes,"CO2 / CH4 / N2
O",48,text,date might differ 1-2 years,
Australia,AUS,NC4,1999,Renewable Energy Equity Fund,"The Renewable Energy Equity Fund (REEF) provided venture capital and managerial advice for small, innovative companies developing renewable energy technologies. The former Australian Centre for Renewable Energy within the Department of Resources, Energy and Tourism had policy responsibility for the program while AusIndustry administered program delivery. The Commonwealth allocated AUD 17.7 million, which was matched by private equity on a 2:1 basis, amounting to a total of AUD 26.6 million over ten years of the program. The identification and management of investments has been undertaken by an independent fund manager. The program is closed.",Boost the commercialisation of renewable energy technologies; to deploy renewable energy technologies; and to help build the capacity of the renewable energy industry to meet the expected high growth in demand for its goods and services.,unclear,"CO2 / CH4 / N2
O",48,text,,
Australia,AUS,NC3,2000,Generator Efficiency Standards,"Generator Efficiency Standards is a Commonwealth best practice program that supports generators using
fossil fuels in achieving better performance in their power plants and, as a result, reducing greenhouse gas
emissions. The program commenced in 2000 and applies to any power generating plant that uses fossil fuels,
whether on-grid, off-grid or self-generating, that meets all of the following criteria:
• 30 MW electrical capacity or above; and
• 50 GWh per annum electrical output or more; and
• a capacity factor of 5% or more in each of the last three years.
The efficiency standards are designed to achieve movement towards best practice in the efficiency of electricity
generation using fossil fuels and deliver reductions in the greenhouse gas intensity of energy supply. Under
this initiative, the Commonwealth enters into legally binding agreements with generators to achieve agreed
emission reduction targets.
It is estimated that the emissions intensity of electricity production will be reduced, saving about 4 Mt of CO2-e
a year, once all the generators have met the required best practice standard determined for each plant.",Improve energy efficiency,yes,CO2 / CH4 / N2O,48,text,,
